GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "02000","Alaska",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",40014380,41904674,41235016,42880090,44406803,47546237,50126750,49926563,54951938,53652007,54045452,57087368,54627629,53303253,53681146,53463861,53550915,52479584,52377485,50901285,51763966,50509127,54183819,55945726
 "02000","Alaska",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.722,78.252,77.002,80.073,82.924,88.787,93.606,93.232,102.616,100.189,100.923,106.604,102.011,99.538,100.243,99.837,100.000,97.999,97.809,95.052,96.663,94.320,101.182,104.472
 "02000","Alaska",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",28660864,29884530,32115792,35389483,40459934,44951700,49456363,55246713,50165906,53653965,56912297,58320660,57532958,56587381,51574180,51121833,53550915,54761954,54549561,51861700,59363025,65682458,68232698,71567207
 "02013","Aleutians East Borough, AK",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",198204,150654,177626,218274,210937,204332,224303,238744,236893,147312,135879,134300,154270,153629,224401,243987,312665,345745,301665,243609,278721,302631,361065,225464
 "02013","Aleutians East Borough, AK",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",63.392,48.184,56.810,69.811,67.464,65.352,71.739,76.358,75.766,47.115,43.458,42.953,49.340,49.135,71.771,78.035,100.000,110.580,96.482,77.914,89.144,96.791,115.480,72.110
 "02013","Aleutians East Borough, AK",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",133146,105864,125540,157145,159894,159315,178226,196359,209360,130259,118445,121856,140978,145177,222052,250218,312665,347292,314254,264634,304654,335240,450986,288918
 "02016","Aleutians West Census Area, AK",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",326689,330292,389857,411490,515674,455122,435347,399300,373735,355274,387099,407737,433297,440412,441111,453408,795250,672215,739573,883287,834061,717884,725284,978184
 "02016","Aleutians West Census Area, AK",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",41.080,41.533,49.023,51.744,64.844,57.230,54.743,50.211,46.996,44.675,48.676,51.272,54.486,55.380,55.468,57.015,100.000,84.529,92.999,111.070,104.880,90.272,91.202,123.003
 "02016","Aleutians West Census Area, AK",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",227899,240007,285762,304508,395868,359340,348302,330469,325169,313273,337801,363700,389162,408860,429542,450554,795250,686484,785885,958065,939655,892138,977560,1346090
 "02020","Anchorage Municipality, AK",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",17528816,17693866,18072371,18507573,19255741,19219153,19574108,20587011,21562294,22405771,22557435,22632371,22200185,22172876,23204212,23455399,23195622,23319628,23105220,22741417,23080130,23489416,24414948,25051159
 "02020","Anchorage Municipality, AK",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.570,76.281,77.913,79.789,83.015,82.857,84.387,88.754,92.958,96.595,97.249,97.572,95.709,95.591,100.037,101.120,100.000,100.535,99.610,98.042,99.502,101.267,105.257,108.000
 "02020","Anchorage Municipality, AK",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",12450368,12838702,13524960,14271123,15374883,15924654,16746901,18069660,18919381,20126190,20670391,21100371,21157643,21538191,22479108,22993398,23195622,23898283,24256250,24086311,25888440,28394376,30526604,32113435
 "02050","Bethel Census Area, AK",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",515138,557050,583520,586680,592949,567225,557201,551106,577071,619089,672561,683949,703363,703292,702541,703449,711083,734987,706903,683840,662549,667019,678307,674969
 "02050","Bethel Census Area, AK",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.444,78.338,82.061,82.505,83.387,79.769,78.360,77.502,81.154,87.063,94.583,96.184,98.914,98.904,98.799,98.926,100.000,103.362,99.412,96.169,93.175,93.803,95.391,94.921
 "02050","Bethel Census Area, AK",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",364107,404879,432789,446304,462342,455646,462396,467329,505753,550044,605588,629301,658825,671982,685818,694762,711083,749055,737112,731066,731351,768559,819120,837070
 "02060","Bristol Bay Borough, AK",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",89795,90583,103880,110194,128901,135663,143777,129308,128693,130833,127814,122275,133770,135213,126361,131911,133015,145447,135197,126971,146669,152465,149873,141950
 "02060","Bristol Bay Borough, AK",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.507,68.100,78.096,82.843,96.908,101.991,108.091,97.213,96.751,98.359,96.090,91.926,100.568,101.653,94.998,99.170,100.000,109.346,101.640,95.456,110.265,114.623,112.674,106.718
 "02060","Bristol Bay Borough, AK",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",63586,66432,77272,82325,98660,105546,112929,105907,113414,114992,111565,110485,122377,127893,124414,133151,133015,146917,140690,135222,160962,172528,184600,178787
 "02063","Chugach Census Area, AK*",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1297264,1338723,1428622,1335654,1185552
 "02063","Chugach Census Area, AK*",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NM),(NM),(NM),(NM),(NM)
 "02063","Chugach Census Area, AK*",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1321741,1436984,1662517,1641167,1472506
 "02066","Copper River Census Area, AK*",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),106236,124761,128639,138121,139800
 "02066","Copper River Census Area, AK*",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NM),(NM),(NM),(NM),(NM)
 "02066","Copper River Census Area, AK*",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),108241,132508,143833,162245,168943
