GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "01000","Alabama",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",168448296,172430379,178039962,189913745,197246483,199923857,202025481,200967427,194192061,199454968,201372839,203675511,206962905,206070026,208950294,212862789,216615470,220808767,225272775,223025492,233951112,239846555,248313684,255629447
 "01000","Alabama",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.764,79.602,82.192,87.673,91.058,92.294,93.265,92.776,89.648,92.078,92.963,94.026,95.544,95.132,96.461,98.268,100.000,101.936,103.997,102.959,108.003,110.725,114.633,118.011
 "01000","Alabama",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",123534517,128380896,135212626,148379077,158677285,166048211,172246995,174665564,170876463,177510738,182896716,188280709,193981544,197064403,203113340,208824280,216615470,226263784,234798213,235858989,260325008,286873326,309543781,325345077
 "01001","Autauga, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1041239,1080135,1111465,1283522,1297102,1384119,1407555,1283751,1316046,1409007,1493906,1726577,1618151,1629762,1765826,1846256,1762558,1787534,1740015,1749999,1738222,1883611,1907174,1758017
 "01001","Autauga, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.075,61.282,63.060,72.822,73.592,78.529,79.859,72.835,74.667,79.941,84.758,97.959,91.807,92.466,100.185,104.749,100.000,101.417,98.721,99.287,98.619,106.868,108.205,99.742
 "01001","Autauga, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",760973,800045,834208,984461,1015320,1124089,1182234,1097703,1175769,1262883,1354851,1571793,1510473,1569120,1729098,1806246,1762558,1826642,1814228,1844494,1956712,2307763,2418431,2251415
 "01003","Baldwin, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4470762,4699162,4987728,5488860,6091919,6264024,6447685,6230645,5926780,6012889,5930698,5998672,6314704,6455247,6757534,7113177,7382558,7758980,8145105,8110635,8697749,9224845,9928360,10208956
 "01003","Baldwin, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",60.558,63.652,67.561,74.349,82.518,84.849,87.337,84.397,80.281,81.447,80.334,81.255,85.535,87.439,91.534,96.351,100.000,105.099,110.329,109.862,117.815,124.955,134.484,138.285
 "01003","Baldwin, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3128482,3369358,3642003,4117129,4717641,5031537,5330102,5238424,5103539,5196713,5187704,5374384,5776842,6034727,6492574,6983037,7382558,7935575,8558537,8772255,9847192,11204369,12715368,13446245
 "01005","Barbour, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",849519,834951,858421,930345,930410,908655,878961,826389,809671,822879,773539,747338,841037,799643,781055,770750,761761,774076,762090,733805,757063,748152,730176,747750
