GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "09000","Connecticut",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",236338107,234307344,236719115,252680831,258203694,269478567,278485379,277793163,265530775,266773408,261555788,263649924,258910988,260605767,268869760,268196181,273875070,274582807,275225375,261737103,270779798,279348464,283228456,286160067
 "09000","Connecticut",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.294,85.553,86.433,92.261,94.278,98.395,101.683,101.431,96.953,97.407,95.502,96.266,94.536,95.155,98.172,97.926,100.000,100.258,100.493,95.568,98.870,101.999,103.415,104.486
 "09000","Connecticut",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",171124406,172929671,177814821,194722852,204504613,219812193,232626817,236110736,231627966,234022164,233058736,239907503,240549194,247114675,260648526,264760380,273875070,280535397,286451880,278747886,297365952,321625224,341851820,356834930
 "09001","Fairfield, CT*",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",85296659,85271885,84914037,89609770,92292286,95983980,99200602,101069735,96945864,95238311,90338399,93325303,90243234,90936528,91961269,90009826,91838477,90874828,89153575,85064283,88518597,92939780,94400577,(NA)
 "09001","Fairfield, CT*",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.877,92.850,92.460,97.573,100.494,104.514,108.016,110.052,105.561,103.702,98.367,101.619,98.263,99.018,100.134,98.009,100.000,98.951,97.076,92.624,96.385,101.199,102.790,(NA)
 "09001","Fairfield, CT*",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",59428558,60434627,61125644,66397709,70432247,75570036,80353134,83421470,81396284,80688035,78194550,82845217,82305210,85003023,88053584,88414129,91838477,93080042,93054847,90717633,98221041,107015542,113406252,(NA)
 "09003","Hartford, CT*",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",64662609,61231581,62933472,68183389,69236598,73211828,77739515,77263338,76435500,78101217,77869142,77205612,74730013,77111517,82732689,83393302,85794244,85758376,86530150,80881230,82881581,85758198,86770206,(NA)
 "09003","Hartford, CT*",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.369,71.370,73.354,79.473,80.701,85.334,90.612,90.057,89.092,91.033,90.763,89.989,87.104,89.880,96.432,97.202,100.000,99.958,100.858,94.273,96.605,99.958,101.138,(NA)
 "09003","Hartford, CT*",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",48426756,46818689,49105394,54580208,56839595,61696166,66911132,67226938,68532830,70384560,71048385,71803798,70676872,74156662,81136241,82942832,85794244,87497694,89550049,85837617,89331843,96776833,103038788,(NA)
 "09005","Litchfield, CT*",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",8457975,8518608,8548639,8466486,8415026,8566182,8316297,8569197,8209605,8578546,8679037,8596322,8494244,8321641,8274762,8167008,8067891,8150107,8322742,8196009,8919005,8887970,8473846,(NA)
