GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
" ""12000""",Florida,5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,714638009,746252840,781834214,833946815,883164468,909298863,922288301,891766851,840480647,851956408,849395301,857861342,880183486,905648485,945929031,978989749,1014866863,1050433812,1084913903,1072481562,1172655328,1245927559,1309392241,1352275106
" ""12000""",Florida,5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,70.417,73.532,77.038,82.173,87.023,89.598,90.878,87.87,82.817,83.948,83.695,84.529,86.729,89.238,93.207,96.465,100,103.505,106.902,105.677,115.548,122.768,129.021,133.247
" ""12000""",Florida,5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,519140736,553359870,590284751,647041811,704890327,749925034,781947333,767357775,739322391,752998398,761043106,784545944,819679764,860112628,918464307,964500842,1014866863,1072085590,1133718001,1144653243,1300807819,1473688112,1624642270,1726709901
" ""12001""","Alachua, FL",5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,9994813,10320581,10423925,11381436,11632885,11902203,12582554,12522235,12167184,12064471,11899264,11809622,11978144,12285865,12507998,12732074,13230632,13699099,14130088,14021366,15026287,15670816,16110114,16456777
" ""12001""","Alachua, FL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,75.543,78.005,78.786,86.023,87.924,89.959,95.102,94.646,91.962,91.186,89.937,89.26,90.533,92.859,94.538,96.232,100,103.541,106.798,105.977,113.572,118.443,121.764,124.384
" ""12001""","Alachua, FL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,6969759,7391953,7637883,8593178,9053770,9590644,10458240,10606972,10620985,10607999,10585100,10731024,11114254,11624889,12133282,12550538,13230632,14001228,14761666,15123001,16733969,18337068,19833210,20938733
" ""12003""","Baker, FL",5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,468201,487070,494519,518311,534961,538527,577414,577626,556699,563610,571613,579930,618212,614962,624918,665022,664447,649576,656751,709506,748690,740598,739793,801544
" ""12003""","Baker, FL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,70.465,73.305,74.426,78.006,80.512,81.049,86.901,86.933,83.784,84.824,86.028,87.28,93.042,92.553,94.051,100.087,100,97.762,98.842,106.782,112.679,111.461,111.34,120.633
" ""12003""","Baker, FL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,329986,351990,365684,395825,420205,438361,486179,497857,493142,500669,514060,531856,579061,584623,606938,653487,664447,665208,689430,770981,853118,907194,951722,1053655
" ""12005""","Bay, FL",5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,6146349,6565670,6882149,7522208,8018443,8243569,8339396,8279373,7961215,7943659,7739492,7710164,7809385,8010371,8265977,8435945,8391383,8572539,8628467,8721838,9480680,9812473,10218670,10440780
" ""12005""","Bay, FL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,73.246,78.243,82.014,89.642,95.556,98.239,99.38,98.665,94.874,94.664,92.231,91.882,93.064,95.459,98.506,100.531,100,102.159,102.825,103.938,112.981,116.935,121.776,124.423
" ""12005""","Bay, FL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,4337335,4750785,5097600,5736345,6330531,6763663,7040972,7101321,6990220,7009885,6912013,7000512,7219632,7576874,8000585,8278828,8391383,8777267,9039773,9342869,10612476,11726419,12836188,13467099
" ""12007""","Bradford, FL",5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,609489,625011,650422,679215,682858,685021,729611,707958,641986,645691,633171,597536,608941,603253,613759,619251,654602,662870,620103,656180,642142,670870,699192,729440
" ""12007""","Bradford, FL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,93.108,95.48,99.361,103.76,104.317,104.647,111.459,108.151,98.073,98.639,96.726,91.282,93.025,92.156,93.761,94.6,100,101.263,94.73,100.241,98.097,102.485,106.812,111.433
" ""12007""","Bradford, FL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,394337,415722,444202,486766,514221,540530,596241,599957,562657,573281,573311,552505,569728,573255,592235,604996,654602,679819,652830,713852,744162,844456,914997,975743
" ""12009""","Brevard, FL",5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,16261511,16913264,18186850,19794433,21203479,22053316,23449889,23671354,21978449,22104454,21112439,20777880,21000520,21478966,22463493,23027348,24133063,25244764,26538360,26833411,29793769,31676923,33657805,35095914
" ""12009""","Brevard, FL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,67.383,70.083,75.361,82.022,87.861,91.382,97.169,98.087,91.072,91.594,87.483,86.097,87.02,89.002,93.082,95.418,100,104.607,109.967,111.189,123.456,131.259,139.468,145.427
" ""12009""","Brevard, FL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,13541503,14278170,15443438,17068193,18631547,19757387,21222963,21341958,20090800,20128416,19375620,19377100,19858124,20626436,21977948,22759862,24133063,25627608,27481706,28406132,32415944,36423102,40584055,43482320
" ""12011""","Broward, FL",5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,74196739,77517633,82117012,87382581,93008956,95315936,96422462,92934094,87832348,90884357,89895801,90161425,91488536,94364607,98710123,101145721,104703408,107817123,111893640,109872453,120024526,127700081,133360002,136649542
" ""12011""","Broward, FL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,70.864,74.035,78.428,83.457,88.831,91.034,92.091,88.759,83.887,86.802,85.858,86.111,87.379,90.126,94.276,96.602,100,102.974,106.867,104.937,114.633,121.964,127.369,130.511
" ""12011""","Broward, FL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,54679491,58231790,62607160,68361203,74823531,79134236,82043599,80164036,77491576,80422206,80563519,82577236,85288384,89618816,95914556,99799959,104703408,109860494,116874689,117214612,132735680,150317672,164566599,173651328
