GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "15000","Hawaii",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",60446448,62355155,65623658,69331961,72941857,74892933,76434095,76830203,74118521,76130166,77174209,78694016,80534850,81304891,83857638,85670434,87436367,88836402,88855240,79696785,84532035,87491233,89642216,91877966
 "15000","Hawaii",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.132,71.315,75.053,79.294,83.423,85.654,87.417,87.870,84.769,87.069,88.263,90.001,92.107,92.987,95.907,97.980,100.000,101.601,101.623,91.148,96.678,100.063,102.523,105.080
 "15000","Hawaii",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",42500165,44949540,48420729,52625652,57211844,60848040,64105957,65545497,64464347,66739274,68801107,71645635,74598524,77043033,81410232,84287219,87436367,90933522,93240199,84787994,93684205,103954470,111740242,117627408
 "15001","Hawaii, HI",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5497066,5703027,6124603,6582721,7266053,7457261,7464991,7472505,6896406,7206091,6988971,7205435,7308062,7399525,7787700,7985480,8324824,8564258,8696291,7538775,8392194,8668568,9042689,9431618
 "15001","Hawaii, HI",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.032,68.506,73.570,79.073,87.282,89.579,89.671,89.762,82.841,86.561,83.953,86.554,87.786,88.885,93.548,95.924,100.000,102.876,104.462,90.558,100.809,104.129,108.623,113.295
 "15001","Hawaii, HI",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3852271,4084460,4475272,4952605,5640792,6006379,6228263,6351946,5995578,6289641,6215025,6555911,6804606,7038806,7552318,7845291,8324824,8744269,9115945,8054117,9430758,10489696,11428831,12193115
 "15003","Honolulu, HI",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",45916233,47265641,49477303,52087127,54246460,55195797,56459415,57391511,56361397,57730989,58852085,59751513,60982556,61556965,63190640,64394760,65758319,66029819,65637794,60004107,62895180,64868194,66598994,68315829
 "15003","Honolulu, HI",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.826,71.878,75.241,79.210,82.494,83.937,85.859,87.276,85.710,87.793,89.498,90.865,92.737,93.611,96.095,97.926,100.000,100.413,99.817,91.249,95.646,98.646,101.278,103.889
 "15003","Honolulu, HI",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",32322301,34144682,36645294,39704825,42746902,45048123,47481545,49058850,49064199,50754050,52631030,54516629,56532379,58371564,61397563,63371174,65758319,67609726,68832255,63835013,69515268,76630272,82559480,87066455
 "15007","Kauai, HI",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2578320,2644714,2818207,2979714,3112477,3293188,3419219,3357983,3061861,3163628,3188973,3328400,3563340,3592236,3659432,3764401,3746756,4059100,4155855,3639347,3781872,4078528,4189437,4271283
 "15007","Kauai, HI",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.815,70.587,75.217,79.528,83.071,87.894,91.258,89.624,81.720,84.436,85.113,88.834,95.105,95.876,97.669,100.471,100.000,108.336,110.919,97.133,100.937,108.855,111.815,114.000
 "15007","Kauai, HI",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1829202,1920270,2079599,2253571,2435765,2670962,2868928,2873622,2679186,2771750,2830133,3023776,3305018,3404433,3547143,3698936,3746756,4154940,4371083,3870582,4223022,4925164,5313388,5552396
 "15901","Maui + Kalawao, HI*",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",6440482,6728117,7192274,7673606,8318272,8959621,9101669,8610946,7795185,8026558,8138842,8405963,8679560,8754659,9219389,9525628,9606468,10183573,10365301,8513903,9457568,9867206,9805235,9855200
 "15901","Maui + Kalawao, HI*",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.043,70.037,74.869,79.880,86.590,93.267,94.745,89.637,81.145,83.554,84.723,87.503,90.351,91.133,95.971,99.158,100.000,106.007,107.899,88.627,98.450,102.714,102.069,102.589
 "15901","Maui + Kalawao, HI*",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4496391,4800129,5220564,5714650,6388385,7122575,7527222,7261079,6725383,6923835,7124919,7549319,7956521,8228230,8913207,9371818,9606468,10424586,10920916,9028282,10515158,11909338,12438543,12815443
"Note: See the included footnote file."
"CAGDP1: County gross domestic product (GDP) summary "
"Last updated: February 5, 2026-- new statistics for 2024; revised statistics for 2020-2023."
"U.S. Bureau of Economic Analysis"
