GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "19000","Iowa",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",128077543,131035207,137476895,149063210,153626763,155704453,162838055,160469102,156737176,161593058,164559278,170923725,171069145,180309935,185989189,186729878,187124993,189245131,188471397,187261682,202470637,202672531,201359774,206438928
 "19000","Iowa",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.445,70.025,73.468,79.660,82.098,83.209,87.021,85.755,83.761,86.356,87.941,91.342,91.420,96.358,99.393,99.789,100.000,101.133,100.720,100.073,108.201,108.309,107.607,110.321
 "19000","Iowa",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",94922619,98669407,105329732,117149838,122866107,127670802,137590223,137749220,137094318,142497665,149026089,158553073,162414980,173734222,181471666,183834825,187124993,193155082,196262458,199449595,225055303,244156811,253166525,265794517
 "19001","Adair, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",272066,290630,292885,346260,301471,300028,281288,322602,305148,297181,333957,323354,348748,336047,351985,343312,349809,360799,370876,444705,493826,500615,471688,493562
 "19001","Adair, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.776,83.082,83.727,98.986,86.182,85.769,80.412,92.222,87.233,84.955,95.468,92.437,99.697,96.066,100.622,98.143,100.000,103.142,106.022,127.128,141.170,143.111,134.841,141.095
 "19001","Adair, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",192444,207804,213967,264721,231430,240901,238591,274835,252893,250175,294180,291579,325659,319987,339861,335857,349809,369589,388654,472109,575610,657987,630223,662553
 "19003","Adams, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",144869,170012,143952,167161,145413,133932,123411,163775,186244,214905,242649,166596,193103,224500,237187,246923,234992,222054,220426,197857,225816,210077,203523,198660
 "19003","Adams, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",61.648,72.348,61.258,71.135,61.880,56.994,52.517,69.694,79.255,91.452,103.258,70.894,82.174,95.535,100.934,105.077,100.000,94.494,93.802,84.197,96.095,89.397,86.608,84.539
 "19003","Adams, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",104814,122634,108328,133085,113004,105770,103568,140810,155097,185097,228633,162073,194618,225313,233659,239325,234992,225048,227160,205044,262158,280914,272083,265904
 "19005","Allamakee, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",489663,486218,519400,562840,557116,554682,558203,557810,517339,555316,570827,540314,574381,611364,629932,678848,628558,609160,592148,599893,572482,579016,542899,581652
 "19005","Allamakee, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.903,77.354,82.634,89.545,88.634,88.247,88.807,88.744,82.306,88.348,90.815,85.961,91.381,97.265,100.219,108.001,100.000,96.914,94.207,95.440,91.079,92.118,86.372,92.538
 "19005","Allamakee, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",370481,373842,405775,449132,450513,460591,479043,489150,473546,509975,543657,526817,577436,619443,625147,658913,628558,617692,614293,633977,659971,742419,718637,780204
