GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "16000","Idaho",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",48695420,49840510,51542561,55137063,59331913,60738580,61812075,63878180,61276051,62626418,62703983,62007288,64769794,66784897,67790538,70442505,72935116,77652137,81144257,82711640,88955152,92792481,95286478,99567334
 "16000","Idaho",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.765,68.335,70.669,75.597,81.349,83.278,84.749,87.582,84.014,85.866,85.972,85.017,88.805,91.568,92.946,96.582,100.000,106.467,111.255,113.404,121.965,127.226,130.646,136.515
 "16000","Idaho",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",37740929,38990678,40778641,44732858,48805138,51099038,53712367,56203556,54507866,56086206,57418177,57933723,61712629,64501721,66064893,69185163,72935116,79072367,84429358,88056765,99884083,112609739,120588078,129018179
 "16001","Ada, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",15258956,15757817,16975228,18644901,20682016,20404346,20415531,21658602,21270418,21504535,21540481,20772023,21857048,22966529,23286936,24329872,25662635,27625688,28865154,28978326,31418246,33350954,34093263,35731361
 "16001","Ada, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.460,61.404,66.148,72.654,80.592,79.510,79.554,84.397,82.885,83.797,83.937,80.943,85.171,89.494,90.743,94.807,100.000,107.649,112.479,112.920,122.428,129.959,132.852,139.235
 "16001","Ada, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",13322493,13763138,14698468,16260299,18183159,18141603,18409564,19513222,19385561,19500432,19631362,19231747,20533323,21892072,22615965,24021868,25662635,28101176,29968061,30772758,34604085,39299694,42109916,45454670
 "16003","Adams, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",79326,81430,82563,94476,102552,106013,109182,100789,96951,100030,102697,111600,113842,115511,123649,125922,116480,114243,115992,120980,137456,137730,150396,158849
 "16003","Adams, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.103,69.909,70.882,81.109,88.043,91.014,93.734,86.529,83.234,85.877,88.167,95.810,97.735,99.168,106.155,108.106,100.000,98.079,99.581,103.863,118.008,118.243,129.117,136.374
 "16003","Adams, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",55394,58277,60753,72046,80632,86359,91673,85907,84539,87873,91938,102164,107750,112091,120248,123275,116480,117252,121529,130596,157542,168565,189675,204636
 "16005","Bannock, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2313120,2283079,2391090,2617705,2787622,2729938,2733186,2898609,2720907,2738323,2682055,2675196,2676330,2744280,2739232,2767172,2801864,2802356,2864376,2899919,3038811,3182497,3309969,3410715
 "16005","Bannock, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.556,81.484,85.339,93.427,99.492,97.433,97.549,103.453,97.111,97.732,95.724,95.479,95.520,97.945,97.765,98.762,100.000,100.018,102.231,103.500,108.457,113.585,118.135,121.730
 "16005","Bannock, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1814987,1811474,1907427,2122429,2302121,2306749,2363304,2538783,2426464,2444728,2415962,2464152,2500617,2610080,2659113,2729522,2801864,2862163,2993771,3119202,3387862,3791591,4156776,4410217
 "16007","Bear Lake, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",128143,124212,134671,135033,139325,131544,140069,145421,141492,137801,145435,169186,163855,172029,170462,170031,173584,169809,175155,184558,183333,201521,219616,226303
 "16007","Bear Lake, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.822,71.557,77.583,77.792,80.264,75.781,80.693,83.776,81.512,79.386,83.784,97.467,94.396,99.105,98.202,97.953,100.000,97.825,100.905,106.322,105.617,116.095,126.519,130.371
 "16007","Bear Lake, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",92608,91548,101831,106357,111669,109225,120290,127962,125157,123702,133983,159652,158908,168780,166652,165286,173584,173164,182689,197597,209696,250343,280939,295712
 "16009","Benewah, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",277906,289368,288222,308585,334203,328193,346993,349823,344184,376066,394420,331346,326961,315395,333107,330168,325420,334689,342276,357877,368052,378066,409234,422241
 "16009","Benewah, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.399,88.921,88.569,94.827,102.699,100.852,106.629,107.499,105.766,115.563,121.203,101.821,100.473,96.919,102.362,101.459,100.000,102.848,105.180,109.974,113.100,116.178,125.755,129.752
 "16009","Benewah, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",196708,208743,213419,241056,266969,268349,288061,295068,284388,320633,342548,294027,302707,301556,321602,323132,325420,346985,361257,392311,443465,493148,533987,557621
 "16011","Bingham, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1129401,1249207,1150513,1167547,1135929,1368305,1361798,1367733,1418525,1339397,1422399,1394377,1368248,1276901,1279574,1234753,1213894,1288708,1387496,1456946,1506305,1702069,1822147,1712442
 "16011","Bingham, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.039,102.909,94.779,96.182,93.577,112.720,112.184,112.673,116.857,110.339,117.177,114.868,112.716,105.190,105.411,101.718,100.000,106.163,114.301,120.023,124.089,140.216,150.108,141.070
 "16011","Bingham, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",781181,879437,829575,873500,863361,1065420,1127926,1162228,1197136,1158091,1282530,1291520,1301283,1233904,1249509,1217438,1213894,1315714,1453594,1565865,1701269,2071307,2307945,2217684
 "16013","Blaine, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1257035,1284941,1273647,1345259,1389453,1448063,1433978,1418585,1256641,1195175,1184977,1279554,1339938,1384770,1363867,1390403,1483281,1536732,1554951,1549321,1808769,1850233,1898706,1937608
 "16013","Blaine, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.747,86.628,85.867,90.695,93.674,97.626,96.676,95.638,84.720,80.576,79.889,86.265,90.336,93.359,91.949,93.738,100.000,103.604,104.832,104.452,121.944,124.739,128.007,130.630
 "16013","Blaine, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",888968,933651,944439,1030549,1104016,1199251,1226600,1233003,1097052,1049007,1055048,1160855,1232831,1302916,1311612,1361392,1483281,1577388,1637838,1658842,2012601,2214208,2397021,2519283
 "16015","Boise, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",135049,141238,141131,144994,149380,151446,158553,162532,154271,151395,155090,163530,181199,163970,143518,147473,145764,156959,169469,164624,184628,176909,194399,215172
 "16015","Boise, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.648,96.894,96.821,99.472,102.481,103.898,108.774,111.503,105.836,103.862,106.398,112.188,124.310,112.490,98.459,101.172,100.000,107.680,116.262,112.938,126.662,121.367,133.365,147.617
 "16015","Boise, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",92235,99437,101896,107844,114886,120758,130059,136120,132373,130507,136072,146159,165121,153531,138060,144699,145764,161145,179315,179472,208425,212592,248118,283055
 "16017","Bonner, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1095129,1193726,1228391,1306723,1406006,1457459,1496517,1505612,1407774,1429963,1411533,1334983,1380009,1409424,1373157,1415255,1403605,1518935,1550543,1648177,1794467,1872339,1931439,1956126
 "16017","Bonner, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.023,85.047,87.517,93.098,100.171,103.837,106.620,107.268,100.297,101.878,100.565,95.111,98.319,100.415,97.831,100.830,100.000,108.217,110.469,117.425,127.847,133.395,137.606,139.364
 "16017","Bonner, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",780057,867052,911510,1001392,1109891,1188470,1245244,1272818,1229271,1248633,1247841,1203738,1270391,1331497,1325665,1392165,1403605,1552689,1624020,1776521,2029412,2266561,2453005,2545798
 "16019","Bonneville, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3071808,3191597,3298338,3471574,3679208,3997117,4138137,4132735,4059939,4100551,3996757,4202257,4340155,4467583,4727064,4897499,5576431,6259327,6907585,6909955,7064870,6746630,6635305,6903459
 "16019","Bonneville, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",55.086,57.234,59.148,62.254,65.978,71.679,74.208,74.111,72.805,73.534,71.672,75.357,77.830,80.115,84.769,87.825,100.000,112.246,123.871,123.914,126.692,120.985,118.988,123.797
 "16019","Bonneville, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2241089,2365806,2489523,2696192,2931532,3286237,3523141,3580308,3588587,3643974,3618154,3894293,4085828,4282617,4611781,4837612,5576431,6377527,7202730,7434112,8088172,8311736,8538045,9062316
 "16021","Boundary, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",264556,278336,288555,311229,299053,306524,303792,319758,307405,338009,355952,356732,336301,345065,357393,349775,353931,363504,386642,374694,407173,425048,470240,496559
 "16021","Boundary, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.748,78.641,81.529,87.935,84.495,86.606,85.834,90.345,86.855,95.501,100.571,100.791,95.019,97.495,100.978,98.826,100.000,102.705,109.242,105.867,115.043,120.093,132.862,140.298
 "16021","Boundary, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",180465,193362,206698,234104,230022,242461,247603,264779,257218,286173,307620,316993,309336,327259,344651,342126,353931,375996,408926,410647,490423,553945,615786,658709
 "16023","Butte, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",935097,1007586,963640,988501,974948,997688,940006,1014313,1078694,1124395,1116688,986295,959754,909483,968850,1013538,1076339,1070015,1181842,1280058,1316571,1402792,1530385,1583598
 "16023","Butte, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.878,93.612,89.529,91.839,90.580,92.693,87.334,94.237,100.219,104.465,103.749,91.634,89.168,84.498,90.013,94.165,100.000,99.412,109.802,118.927,122.319,130.330,142.184,147.128
 "16023","Butte, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",684156,752373,739091,786510,799188,853660,835060,916390,982911,1034426,1039200,930781,917347,872565,947704,996409,1076339,1089989,1217810,1336450,1382435,1521296,1749351,1869804
 "16025","Camas, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",31659,35884,32764,33890,34503,36074,34645,45658,53996,47070,53125,56068,65785,64597,66965,66272,63093,68121,70865,72018,78852,85397,87120,86270
 "16025","Camas, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",50.179,56.874,51.930,53.715,54.686,57.175,54.911,72.366,85.582,74.605,84.201,88.866,104.266,102.384,106.137,105.039,100.000,107.970,112.319,114.146,124.978,135.351,138.082,136.734
