GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "23000","Maine",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",54066164,55406487,56882376,58934847,59589666,59985952,60032647,59845088,58771837,59958526,59429729,59181697,59013939,59589798,60562978,62037088,63000596,64806287,66758382,67639172,71353454,72884355,75514042,77758621
 "23000","Maine",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.818,87.946,90.289,93.546,94.586,95.215,95.289,94.991,93.288,95.171,94.332,93.938,93.672,94.586,96.131,98.471,100.000,102.866,105.965,107.363,113.258,115.688,119.862,123.425
 "23000","Maine",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",38925695,40664096,42493388,45233116,47028078,48889299,50291275,51001881,51451198,52802518,53104496,54018457,54924797,56537353,58755816,61092152,63000596,66215972,69708709,72309667,79407551,86310616,93743820,99174085
 "23001","Androscoggin, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3705173,3972843,4104730,4193188,4180435,4234428,4380524,4484563,4310725,4285139,4240973,4377320,4303389,4351192,4469042,4554028,4503370,4703346,4833867,5016665,5049495,5139460,5362336,5507053
 "23001","Androscoggin, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.276,88.219,91.148,93.112,92.829,94.028,97.272,99.582,95.722,95.154,94.173,97.201,95.559,96.621,99.238,101.125,100.000,104.441,107.339,111.398,112.127,114.125,119.074,122.287
 "23001","Androscoggin, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2707627,2957088,3110352,3274545,3352364,3510773,3733123,3890654,3798837,3814206,3837354,4049604,4057368,4167214,4353322,4487470,4503370,4798796,5039685,5353971,5646495,6170642,6723721,7049945
 "23003","Aroostook, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2310324,2394078,2402521,2488082,2673819,2703357,2671170,2531948,2493133,2547119,2410490,2428984,2420290,2365704,2428810,2520837,2535379,2579493,2582377,2599762,2629362,2611685,2671216,2819143
 "23003","Aroostook, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.123,94.427,94.760,98.135,105.460,106.625,105.356,99.865,98.334,100.463,95.074,95.804,95.461,93.308,95.797,99.426,100.000,101.740,101.854,102.539,103.707,103.010,105.358,111.192
 "23003","Aroostook, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1666193,1758269,1796161,1914515,2101598,2178834,2216192,2141134,2175336,2244246,2151728,2220355,2263637,2260296,2363552,2471017,2535379,2645494,2693282,2776491,3030247,3272992,3434715,3669941
 "23005","Cumberland, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",16631710,16804323,17496398,18269107,18432138,18719918,18775765,19051654,18796639,19017236,19046483,19156240,19151965,19513221,19861921,20552094,21366628,22084886,22748173,23348607,25049880,25734709,26783757,27597164
 "23005","Cumberland, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.840,78.648,81.887,85.503,86.266,87.613,87.874,89.165,87.972,89.004,89.141,89.655,89.635,91.326,92.958,96.188,100.000,103.362,106.466,109.276,117.238,120.443,125.353,129.160
 "23005","Cumberland, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",12257993,12616458,13343654,14301086,14820723,15505383,15950812,16427998,16618976,16896899,17144426,17601927,17897976,18567144,19310737,20282981,21366628,22532215,23657718,24821846,27514771,29846022,32584383,34616097
 "23007","Franklin, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1168773,1161627,1165899,1202776,1190397,1204127,1233276,1183138,1089113,1115267,1144447,1153046,1125237,1108594,1089483,1072840,1034899,1085986,1112064,1122107,1125587,1150477,1136083,1153285
 "23007","Franklin, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",112.936,112.245,112.658,116.222,115.025,116.352,119.169,114.324,105.239,107.766,110.585,111.416,108.729,107.121,105.274,103.666,100.000,104.936,107.456,108.427,108.763,111.168,109.777,111.439
 "23007","Franklin, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",846022,850318,863082,907924,921509,969403,1017881,994738,956570,983341,1020363,1043010,1044140,1051376,1056413,1052745,1034899,1112455,1164486,1201533,1276537,1406573,1454828,1509130
 "23009","Hancock, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2465712,2600706,2530432,2642924,2577294,2534172,2451446,2598208,2501227,2617967,2537268,2453731,2403932,2422294,2494071,2461511,2454603,2430035,2637957,2458857,2635222,2695429,2810239,2866426
 "23009","Hancock, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",100.453,105.952,103.089,107.672,104.998,103.242,99.871,105.850,101.899,106.655,103.368,99.964,97.936,98.684,101.608,100.281,100.000,98.999,107.470,100.173,107.358,109.811,114.489,116.778
 "23009","Hancock, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1729138,1852410,1839789,1977078,1982744,2021271,2017518,2176849,2167999,2282974,2241311,2206867,2207788,2276720,2404290,2418207,2454603,2486858,2766257,2635789,2939048,3199770,3510996,3681186
 "23011","Kennebec, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5023187,5127446,5223577,5371395,5399304,5471464,5525502,5539997,5380701,5482101,5299374,5105679,5355036,5420955,5447235,5461992,5510136,5666529,5835310,5853906,6218429,6295328,6389248,6698949
 "23011","Kennebec, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.163,93.055,94.799,97.482,97.989,99.298,100.279,100.542,97.651,99.491,96.175,92.660,97.185,98.382,98.858,99.126,100.000,102.838,105.901,106.239,112.854,114.250,115.954,121.575
 "23011","Kennebec, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3492130,3643546,3780747,4011141,4156713,4364732,4556592,4667926,4665542,4794642,4711332,4645502,4977477,5131139,5282554,5380670,5510136,5788502,6101420,6295527,6949429,7455400,7945879,8569210
 "23013","Knox, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1756703,1845058,1894495,1922335,1890447,1811266,1700610,1697811,1616889,1674869,1682300,1642041,1617827,1665238,1746520,1760288,1812399,1791382,1937247,1859678,1969911,1984921,2030683,2046787
 "23013","Knox, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.927,101.802,104.530,106.066,104.306,99.938,93.832,93.678,89.213,92.412,92.822,90.600,89.264,91.880,96.365,97.125,100.000,98.840,106.889,102.609,108.691,109.519,112.044,112.932
 "23013","Knox, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1244351,1333129,1396289,1453980,1473175,1458415,1411415,1431107,1397523,1455171,1479443,1476948,1485877,1563663,1684154,1732213,1812399,1829016,2027478,1995273,2189878,2350824,2536584,2632648
 "23015","Lincoln, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1056152,1109648,1142823,1168942,1191382,1211366,1238750,1152834,1116564,1180797,1177878,1152067,1105822,1127107,1157851,1151738,1167189,1162295,1269621,1188031,1282624,1326052,1383101,1396304
 "23015","Lincoln, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.487,95.070,97.912,100.150,102.073,103.785,106.131,98.770,95.663,101.166,100.916,98.704,94.742,96.566,99.200,98.676,100.000,99.581,108.776,101.786,109.890,113.611,118.498,119.630
 "23015","Lincoln, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",741673,797519,838972,884641,926985,974339,1031690,976481,959487,1019902,1031404,1031787,1011388,1053649,1112228,1130094,1167189,1188850,1332159,1279119,1434508,1584300,1742321,1810924
 "23017","Oxford, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1698266,1697725,1720321,1754452,1781824,1814466,1831504,1740541,1638072,1763604,1756921,1669643,1635574,1644931,1620387,1677521,1671821,1739078,1729642,1773748,1797449,1855525,1949439,1970737
 "23017","Oxford, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",101.582,101.549,102.901,104.943,106.580,108.532,109.551,104.110,97.981,105.490,105.090,99.870,97.832,98.392,96.923,100.341,100.000,104.023,103.459,106.097,107.514,110.988,116.606,117.880
 "23017","Oxford, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1228256,1246175,1282837,1346414,1401696,1471782,1522143,1469612,1425854,1537656,1547877,1500217,1509390,1554687,1568587,1647415,1671821,1782109,1812514,1901982,2035206,2274550,2495732,2576674
 "23019","Penobscot, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",6125830,6282204,6279604,6483475,6604003,6527838,6539558,6410783,6408282,6422680,6285492,6179716,6183491,6185770,6233187,6362602,6360893,6599941,6788914,6774750,7013117,7108257,7303301,7530721
 "23019","Penobscot, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.305,98.763,98.722,101.927,103.822,102.625,102.809,100.784,100.745,100.971,98.815,97.152,97.211,97.247,97.992,100.027,100.000,103.758,106.729,106.506,110.254,111.749,114.816,118.391
 "23019","Penobscot, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4384482,4573719,4650227,4924093,5162705,5277859,5433305,5423282,5592798,5646281,5619682,5649918,5761115,5873603,6051528,6261517,6360893,6758301,7114254,7280661,7878482,8494646,9123205,9643476
 "23021","Piscataquis, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",475183,504268,514217,533134,556023,539486,553195,530647,550236,567368,563187,541368,513594,506069,509750,516043,521879,551021,548481,611062,613363,621404,617323,582242
 "23021","Piscataquis, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.052,96.626,98.532,102.157,106.543,103.374,106.001,101.680,105.434,108.717,107.915,103.735,98.413,96.971,97.676,98.882,100.000,105.584,105.098,117.089,117.530,119.071,118.289,111.566
 "23021","Piscataquis, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",340299,369199,381710,406135,434722,434319,455015,443279,472354,489386,495033,487266,473808,477536,492954,507535,521879,564887,576038,659344,716402,788237,803060,765706
 "23023","Sagadahoc, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1405202,1398995,1526034,1547613,1599506,1607137,1664627,1620920,1625590,1763916,1700168,1639154,1604467,1631493,1715112,1729110,1813622,1784586,1754842,1959532,2368718,2257269,2435027,2541756
 "23023","Sagadahoc, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.480,77.138,84.143,85.333,88.194,88.615,91.785,89.375,89.632,97.259,93.744,90.380,88.468,89.958,94.568,95.340,100.000,98.399,96.759,108.045,130.607,124.462,134.263,140.148
 "23023","Sagadahoc, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",984129,1004587,1131737,1179154,1258233,1306742,1384342,1369666,1421718,1545483,1508075,1482731,1480527,1539690,1663507,1706695,1813622,1810373,1819684,2081248,2537346,2524380,2869015,3087937
 "23025","Somerset, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1638340,1669889,1683560,1739632,1772531,1861980,1847704,1892456,1872984,1899675,1931298,1829676,1761842,1719995,1708823,1774558,1719082,1709871,1686860,1761856,1760016,1776023,1844950,1882232
 "23025","Somerset, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.303,97.138,97.934,101.195,103.109,108.312,107.482,110.085,108.953,110.505,112.345,106.433,102.487,100.053,99.403,103.227,100.000,99.464,98.126,102.488,102.381,103.312,107.322,109.491
 "23025","Somerset, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1208450,1247709,1273362,1348744,1409060,1531719,1554709,1613474,1628409,1664845,1732966,1669999,1649758,1644579,1660327,1737388,1719082,1748722,1756894,1867524,1988961,2181406,2355166,2438935
 "23027","Waldo, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1018771,1069644,1075954,1090829,1095803,1055505,1016881,1054521,1058721,1100021,1115718,1112139,1101401,1160497,1206101,1257403,1365513,1321071,1450424,1418514,1480277,1559570,1532040,1529899
 "23027","Waldo, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.607,78.333,78.795,79.884,80.248,77.297,74.469,77.225,77.533,80.557,81.707,81.445,80.658,84.986,88.326,92.083,100.000,96.745,106.218,103.881,108.404,114.211,112.195,112.038
 "23027","Waldo, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",714104,768186,795999,833209,860061,855061,844310,886369,894503,940234,966280,988270,1003380,1084117,1154877,1233041,1365513,1354870,1528097,1527528,1672934,1884930,1943373,1998173
 "23029","Washington, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1074502,1055754,1098633,1094193,1148392,1176117,1115013,986116,983607,1061313,1049904,1070461,1064413,1090034,1116021,1099364,1017939,1018497,1077701,1103999,1108411,1099551,1137259,1136562
 "23029","Washington, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",105.557,103.715,107.927,107.491,112.815,115.539,109.536,96.874,96.627,104.261,103.140,105.160,104.565,107.082,109.635,107.999,100.000,100.055,105.871,108.454,108.888,108.017,111.722,111.653
 "23029","Washington, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",757112,756520,801809,823205,880052,928001,924958,832689,851832,932599,953023,992354,1015585,1054402,1086875,1079288,1017939,1041633,1126822,1178662,1247812,1330589,1443229,1474205
