GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "30000","Montana",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",32689630,33663844,35249512,36949912,38848976,40055038,42057663,42049328,40938421,42469794,43532195,44329081,45114692,46166675,47765609,47189605,48470545,49454951,50263472,50062916,53345910,55806896,58604871,60605713
 "30000","Montana",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.442,69.452,72.724,76.232,80.150,82.638,86.770,86.752,84.460,87.620,89.812,91.456,93.077,95.247,98.546,97.357,100.000,102.031,103.699,103.285,110.058,115.136,120.908,125.036
 "30000","Montana",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",22798037,23886001,25781137,28138836,30823727,33087982,36116105,37028017,35879955,38080334,40592281,42150166,43583985,45203769,46542386,45859434,48470545,51152051,52715571,53057339,60314761,69087762,74690267,78441014
 "30001","Beaverhead, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",293506,264678,284994,306967,347270,323333,327706,319340,324032,308667,331804,322068,354440,394188,424391,424243,373146,370140,416507,411227,390579,442413,458521,520911
 "30001","Beaverhead, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.657,70.931,76.376,82.265,93.065,86.651,87.822,85.581,86.838,82.720,88.921,86.312,94.987,105.639,113.733,113.694,100.000,99.194,111.621,110.206,104.672,118.563,122.880,139.600
 "30001","Beaverhead, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",217117,200472,221945,250629,290289,281455,296847,298399,308450,299253,329274,325516,366597,407074,422179,409514,373146,376456,431477,433069,445251,554628,586175,672545
 "30003","Big Horn, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",491483,436903,510225,575661,634165,640191,679297,761978,685578,657592,676853,685639,977976,1003982,1018810,828991,870400,922364,833274,814485,730587,924330,899092,942296
 "30003","Big Horn, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",56.466,50.196,58.620,66.138,72.859,73.551,78.044,87.543,78.766,75.551,77.763,78.773,112.359,115.347,117.051,95.243,100.000,105.970,95.735,93.576,83.937,106.196,103.296,108.260
 "30003","Big Horn, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",311914,284024,343303,408358,477249,516097,569609,690281,613801,606350,661152,688232,990277,1016213,996261,792355,870400,950170,882314,868075,846616,1190417,1196153,1285636
 "30005","Blaine, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",152579,138554,145943,167695,179965,146108,183125,162013,227454,209965,184108,180342,182736,188880,192738,157764,157945,177477,172622,169927,164036,185634,198550,175418
 "30005","Blaine, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.602,87.723,92.401,106.173,113.942,92.506,115.942,102.576,144.008,132.936,116.565,114.180,115.696,119.586,122.029,99.886,100.000,112.366,109.292,107.586,103.857,117.531,125.708,111.063
 "30005","Blaine, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",107169,96821,110664,136049,150690,126308,168981,158778,192005,193801,191702,189655,201861,205429,190863,151661,157945,180511,176557,174502,191580,249758,256767,227406
 "30007","Broadwater, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",102768,111682,99545,106445,111911,98575,118743,158976,146847,136156,131683,116133,142104,145875,158904,179972,171883,175742,188095,185652,190144,190786,218044,232366
 "30007","Broadwater, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.790,64.976,57.915,61.929,65.109,57.350,69.084,92.491,85.435,79.214,76.612,67.565,82.675,84.869,92.449,104.706,100.000,102.245,109.432,108.011,110.624,110.998,126.856,135.189
 "30007","Broadwater, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",74762,81785,75888,85985,91050,82412,102433,141722,124100,120403,123098,111352,139822,145341,155953,173366,171883,177914,193258,194547,222665,247337,285932,306505
 "30009","Carbon, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",194025,193073,200069,221130,218373,226173,216051,202968,211776,214275,215036,262027,280885,304880,346494,369751,362261,366251,373586,350392,374201,362889,392411,416881
