GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "38000","North Dakota",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",25329792,26592117,28326734,28636235,29629028,30911368,32528990,35030391,35971273,38697406,43300419,53326806,54690941,60192970,58694473,54756031,56530212,58516353,59408464,56602829,57351344,57031062,62114745,63366354
 "38000","North Dakota",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",44.808,47.041,50.109,50.657,52.413,54.681,57.543,61.968,63.632,68.454,76.597,94.333,96.746,106.479,103.829,96.862,100.000,103.513,105.092,100.128,101.453,100.886,109.879,112.093
 "38000","North Dakota",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",18976891,20195577,22129866,23209579,24572035,26406466,29044571,32027740,32310398,35651836,41602114,52079054,54876955,61108338,56952199,52666273,56530212,60377082,60892546,56321447,64829982,75052122,77898128,80058257
 "38001","Adams, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",80684,66573,94573,91067,97125,107712,106772,91892,104841,104097,101309,136085,114545,117701,141482,129437,114454,113765,152080,109706,101810,96214,94474,129538
 "38001","Adams, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.495,58.165,82.630,79.567,84.859,94.109,93.288,80.287,91.601,90.950,88.515,118.899,100.079,102.836,123.614,113.091,100.000,99.397,132.873,95.851,88.953,84.063,82.543,113.179
 "38001","Adams, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",57713,48219,70979,73005,75819,84679,93436,81561,88357,91969,96963,133624,117149,120110,140201,126096,114454,116365,160064,117715,116021,119446,122009,169160
 "38003","Barnes, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",374755,391625,413371,426009,442084,423790,476232,551185,501823,585202,555559,686015,597604,603615,633513,571277,596940,584815,654898,643012,644332,668765,721068,631434
 "38003","Barnes, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",62.779,65.605,69.248,71.365,74.058,70.994,79.779,92.335,84.066,98.034,93.068,114.922,100.111,101.118,106.127,95.701,100.000,97.969,109.709,107.718,107.939,112.032,120.794,105.778
 "38003","Barnes, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",253007,267227,290062,311344,323839,318190,379083,446209,395035,475456,488381,619443,560213,576446,616510,558201,596940,591133,678103,672029,744441,885097,963544,853036
 "38005","Benson, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",147645,167589,218768,170667,192487,191230,230587,249161,251669,240453,262994,312820,255270,226700,206435,217529,239370,266168,235851,250134,253540,289016,280335,272280
 "38005","Benson, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",61.681,70.012,91.393,71.298,80.414,79.889,96.331,104.090,105.138,100.452,109.869,130.685,106.642,94.707,86.241,90.876,100.000,111.195,98.530,104.497,105.920,120.740,117.114,113.749
 "38005","Benson, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",96130,111897,152806,126041,143739,146451,192798,212888,200977,200794,236358,289194,248661,220884,200765,210109,239370,268132,241660,260063,301500,398212,376572,365508
 "38007","Billings, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",30591,32898,32123,40802,49743,60497,60845,50086,64998,66350,76232,112838,113306,131010,130320,120793,130221,121332,176960,260652,173125,115955,155883,175811
 "38007","Billings, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",23.492,25.263,24.668,31.333,38.199,46.457,46.725,38.462,49.913,50.952,58.541,86.651,87.010,100.606,100.076,92.760,100.000,93.174,135.892,200.162,132.947,89.045,119.706,135.010
 "38007","Billings, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",23852,24277,28492,40083,54878,67128,73820,74726,62128,75475,94628,131849,138447,160010,124169,109394,130221,131250,180072,247777,206400,181017,199957,223992
 "38009","Bottineau, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",190823,216253,249477,182339,206947,195642,266764,333073,384877,330980,350913,462819,455497,501300,393609,345139,379652,486238,431522,432543,415459,485686,461367,448932
 "38009","Bottineau, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",50.263,56.961,65.712,48.028,54.510,51.532,70.265,87.731,101.376,87.180,92.430,121.906,119.978,132.042,103.676,90.909,100.000,128.075,113.662,113.932,109.431,127.929,121.524,118.248
 "38009","Bottineau, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",142247,161665,197358,152481,180809,177010,260112,337279,338756,310860,353503,474965,489565,529709,384265,330985,379652,492634,440761,436011,469380,646244,598730,586147
 "38011","Bowman, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",116064,107125,124651,138135,166253,207716,231925,230530,271640,241903,248089,289275,302505,310325,304302,275979,273559,228829,241662,235000,225574,186018,187226,188893
 "38011","Bowman, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",42.427,39.160,45.566,50.496,60.774,75.931,84.781,84.271,99.298,88.428,90.689,105.745,110.581,113.440,111.238,100.884,100.000,83.649,88.340,85.905,82.459,67.999,68.441,69.050
 "38011","Bowman, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",93751,85471,108245,130356,171217,217458,261715,314869,247408,258508,295052,330478,362635,366824,290973,250710,273559,244943,245483,219888,273014,283234,246630,250534
 "38013","Burke, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",47693,50895,66184,55512,75538,71714,81192,120153,161835,133911,146116,211298,251872,239447,231851,218928,186238,206976,216580,226868,191755,218082,220557,232756
 "38013","Burke, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",25.609,27.328,35.537,29.807,40.560,38.507,43.596,64.516,86.897,71.903,78.457,113.456,135.242,128.570,124.492,117.553,100.000,111.135,116.292,121.816,102.962,117.099,118.427,124.978
 "38013","Burke, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",39169,42387,58101,51748,71527,69248,85789,133842,147585,135915,167866,240647,302306,283511,226273,200249,186238,218020,217958,207808,230007,331683,281886,292860
