GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "31000","Nebraska",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",82268061,83433233,88310697,90607570,94555959,97322776,99780730,99860115,99986382,103940811,109734204,109686280,111382221,115651916,119640844,121303098,123219865,125543447,127568888,126711228,135166364,139878099,147146536,148102798
 "31000","Nebraska",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.765,67.711,71.669,73.533,76.738,78.983,80.978,81.042,81.145,84.354,89.056,89.017,90.393,93.858,97.095,98.444,100.000,101.886,103.529,102.833,109.695,113.519,119.418,120.194
 "31000","Nebraska",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",59634294,61569514,66471731,70445368,74886671,79287464,84291943,86146577,87325516,91940720,100526513,102949652,107246985,112763301,117402320,119389831,123219865,127954392,132848206,135014523,150952536,167840201,183780918,189242673
 "31001","Adams, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1319367,1348286,1355052,1341441,1463213,1594960,1665918,1690287,1619622,1586875,1709251,1735273,1867247,1845389,1842223,1895118,1836139,1841535,1859228,1798401,1992589,2018543,2014324,2028756
 "31001","Adams, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.856,73.430,73.799,73.058,79.690,86.865,90.729,92.057,88.208,86.425,93.089,94.507,101.694,100.504,100.331,103.212,100.000,100.294,101.257,97.945,108.521,109.934,109.704,110.490
 "31001","Adams, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",925434,961343,987974,1010053,1121483,1261223,1379309,1449339,1402087,1396216,1570347,1640550,1821659,1820785,1814290,1858480,1836139,1874455,1942374,1920900,2245075,2482661,2592242,2660995
 "31003","Antelope, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",251654,273743,300488,301039,341080,315923,337409,314696,355631,357641,367601,335342,344476,361275,369432,474055,419674,426705,509507,584451,578943,557707,622479,576887
 "31003","Antelope, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.964,65.228,71.600,71.732,81.273,75.278,80.398,74.986,84.740,85.219,87.592,79.905,82.082,86.085,88.028,112.958,100.000,101.675,121.405,139.263,137.951,132.890,148.324,137.461
 "31003","Antelope, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",169558,183188,211600,229114,252315,239301,286789,276817,288339,308142,363275,341866,371222,382583,371293,456369,419674,433247,530501,609601,690852,763355,845637,776573
 "31005","Arthur, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",6803,8216,8221,8390,9129,11025,6411,6263,6262,8701,11946,5420,8076,18600,25555,21633,19993,16485,18711,19589,16530,12617,22852,25350
 "31005","Arthur, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",34.024,41.092,41.117,41.966,45.659,55.145,32.067,31.325,31.320,43.518,59.751,27.109,40.395,93.032,127.815,108.198,100.000,82.450,93.585,97.979,82.676,63.103,114.300,126.792
 "31005","Arthur, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",5169,6383,6655,7289,7596,9180,5858,5874,6045,8662,13514,6288,9741,21829,26471,20362,19993,16344,18761,19654,19943,17697,30762,33182
 "31007","Banner, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",15507,14456,30904,24109,33471,29197,22389,26308,13360,27363,40614,30762,44028,54229,66635,80680,37411,36901,39404,39319,37366,34918,41228,35556
 "31007","Banner, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",41.452,38.641,82.607,64.442,89.467,78.044,59.846,70.323,35.712,73.141,108.562,82.227,117.688,144.956,178.117,215.659,100.000,98.638,105.327,105.100,99.879,93.337,110.203,95.042
 "31007","Banner, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",12000,11170,25748,22631,28623,24486,22368,27177,12119,26742,48128,37396,57920,67427,70537,74795,37411,36518,39130,38450,46723,54123,58539,48742
 "31009","Blaine, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",15376,17704,20023,16205,16198,13296,12013,11638,10419,14978,18565,14040,24123,37159,48046,48684,31517,31017,28951,28803,22389,19894,31814,39534
 "31009","Blaine, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",48.787,56.172,63.529,51.418,51.393,42.188,38.114,36.925,33.058,47.524,58.903,44.547,76.539,117.901,152.443,154.468,100.000,98.411,91.857,91.388,71.036,63.122,100.941,125.436
 "31009","Blaine, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",12905,15106,17935,15851,14870,12303,12358,12178,10440,15803,22306,17311,31677,46281,50965,45146,31517,30422,28509,28208,26633,27922,42230,50758
 "31011","Boone, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",234650,265891,261577,253627,279941,265973,286428,278505,326292,377169,431499,378824,422393,407018,401753,409162,343972,378714,421227,435161,467216,403346,462746,418119
 "31011","Boone, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.218,77.300,76.046,73.735,81.385,77.324,83.271,80.967,94.860,109.651,125.446,110.132,122.799,118.329,116.798,118.952,100.000,110.100,122.460,126.511,135.830,117.261,134.530,121.556
 "31011","Boone, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",164104,183484,190400,199268,212272,206851,240306,243099,268828,328680,430011,389282,456260,434628,405138,394374,343972,386037,439332,456394,560769,554505,637020,575690
 "31013","Box Butte, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",492033,472386,520123,525072,557631,547392,541360,574202,523694,530259,608988,641684,604135,622775,615949,606271,624123,619757,603352,562097,566065,529808,529832,539216
 "31013","Box Butte, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.836,75.688,83.336,84.130,89.346,87.706,86.739,92.001,83.909,84.961,97.575,102.814,96.797,99.784,98.690,97.140,100.000,99.300,96.672,90.062,90.698,84.888,84.892,86.396
 "31013","Box Butte, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",328418,323240,360638,376746,413535,428702,442387,494393,446945,462796,564507,615695,603279,625024,610246,590631,624123,631191,634314,601150,655442,684845,700900,724860
 "31015","Boyd, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",56350,50835,67553,55662,65709,66822,59981,66619,81232,89622,95760,78200,69819,84222,99364,106807,116093,122605,119106,103933,117832,115767,107037,107841
 "31015","Boyd, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",48.539,43.788,58.189,47.946,56.600,57.559,51.667,57.384,69.971,77.199,82.486,67.360,60.140,72.547,85.590,92.002,100.000,105.610,102.595,89.526,101.498,99.720,92.199,92.892
 "31015","Boyd, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",40825,37102,51666,45668,51822,52762,53189,59908,66013,78561,98021,82192,77382,91565,100255,101533,116093,121471,118978,103852,137239,160728,141397,139785
 "31017","Brown, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",79738,84755,101688,97444,127183,130905,105570,95126,93211,126421,146558,137370,162219,204962,247123,297786,206874,204595,218083,214923,193860,163788,205881,201132
