GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "35000","New Mexico",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",72996409,75345940,78766781,85750994,86295933,88554483,89392345,89012850,90829180,90721033,90552302,90762379,90104025,92621054,93503891,93043510,93210058,96077043,100342190,98004013,101499200,104212825,114059230,119044478
 "35000","New Mexico",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.314,80.835,84.505,91.998,92.582,95.005,95.904,95.497,97.446,97.330,97.149,97.374,96.668,99.368,100.315,99.821,100.000,103.076,107.652,105.143,108.893,111.804,122.368,127.716
 "35000","New Mexico",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",55660208,57718299,62867912,70593439,74130868,78008249,81100279,84339718,82641322,84862582,87055999,87680955,88773300,92523357,90779449,90475963,93210058,98838223,103821007,101035549,113781740,129469111,138526026,147084859
 "35001","Bernalillo, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",29409858,30108292,31643659,34464982,34685975,35348106,35619142,35838847,35535467,35162933,34921426,34858007,34524101,35275612,35803605,36402793,36493928,37175016,38145851,37710833,39762739,41302177,42584209,43535686
 "35001","Bernalillo, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.588,82.502,86.709,94.440,95.046,96.860,97.603,98.205,97.374,96.353,95.691,95.517,94.602,96.662,98.108,99.750,100.000,101.866,104.527,103.335,108.957,113.175,116.688,119.296
 "35001","Bernalillo, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",22316079,23278050,24794184,27510693,28308844,29606398,30525350,31156163,31561911,31395385,31545341,32080159,32283003,33583552,34821636,35930371,36493928,37952066,39756434,40275282,43764883,47965681,51971506,54831086
 "35003","Catron, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",78601,81173,83960,84929,88499,96302,83082,77961,77165,79034,81174,86854,83839,89382,89573,89153,84780,88541,81271,91082,92242,110223,111443,112712
 "35003","Catron, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.713,95.745,99.033,100.176,104.387,113.591,97.997,91.958,91.018,93.223,95.747,102.446,98.891,105.429,105.654,105.159,100.000,104.436,95.861,107.434,108.802,130.011,131.450,132.946
 "35003","Catron, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",54759,58546,62583,65984,69522,77803,70658,67746,68105,70843,74843,81531,80649,87253,87372,86806,84780,90068,84304,96522,105253,137156,140625,144190
 "35005","Chaves, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1873056,1856606,1795086,1907653,1961066,1961088,2065829,2134379,1892715,2079450,2109223,2090332,2032652,2091002,2082336,2094889,2037102,2081771,2108328,2076719,2049481,2113128,2128353,2241622
 "35005","Chaves, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.947,91.140,88.120,93.645,96.267,96.269,101.410,104.775,92.912,102.079,103.540,102.613,99.782,102.646,102.221,102.837,100.000,102.193,103.496,101.945,100.608,103.732,104.479,110.040
 "35005","Chaves, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1339671,1332620,1351837,1505081,1586011,1627493,1803738,1942908,1658844,1881914,2006638,2018029,2024291,2097064,2033604,2038481,2037102,2118239,2181025,2184799,2321815,2602490,2673505,2865638
 "35006","Cibola, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",521413,557865,624834,675690,664846,675352,681746,654214,617606,609008,618687,654672,669014,679062,676188,661823,631112,634675,626267,638844,607137,599992,634495,671301
 "35006","Cibola, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.618,88.394,99.005,107.063,105.345,107.010,108.023,103.660,97.860,96.498,98.031,103.733,106.006,107.598,107.142,104.866,100.000,100.564,99.232,101.225,96.201,95.069,100.536,106.368
 "35006","Cibola, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",383443,416004,470999,518831,523745,549460,571065,561355,545203,545261,563859,607804,631322,651159,655459,647530,631112,649036,654657,688079,686020,722744,799564,868066
 "35007","Colfax, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",493461,501349,495977,493464,510362,524624,521396,481929,509521,504597,537418,488247,480248,481191,473547,475945,449330,442000,442440,441728,448854,444010,474483,475977
 "35007","Colfax, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",109.822,111.577,110.382,109.822,113.583,116.757,116.039,107.255,113.396,112.300,119.604,108.661,106.881,107.091,105.390,105.923,100.000,98.369,98.467,98.308,99.894,98.816,105.598,105.931
 "35007","Colfax, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",342335,353122,367781,387554,426026,450848,473558,470756,450440,467730,521581,476386,484484,490264,459422,459012,449330,454121,461352,462644,512600,559769,608612,623486
