GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "44000","Rhode Island",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",49705159,51284341,52933114,55160485,55885918,57415808,56230541,54977076,54481456,56050592,56026561,56487375,57037208,57602681,58387945,58629978,58771553,58740143,60157586,58132267,60660011,61517303,62119264,63459122
 "44000","Rhode Island",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.573,87.260,90.066,93.856,95.090,97.693,95.676,93.544,92.700,95.370,95.329,96.113,97.049,98.011,99.347,99.759,100.000,99.947,102.358,98.912,103.213,104.672,105.696,107.976
 "44000","Rhode Island",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",35940090,37891190,39787141,42578222,44413252,47165265,47490131,47138901,47647212,49409074,50123663,51527533,52994212,54612489,56603962,57714618,58771553,60064877,62814689,61980881,67060016,71978237,76313526,80381145
 "44001","Bristol, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1497522,1563578,1638341,1692640,1692285,1699457,1763769,1798659,1750822,1837382,1766140,1728417,1796732,1809925,1807617,1811812,1802623,1800539,1814916,1693762,1890384,1875969,1952436,2089480
 "44001","Bristol, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.075,86.739,90.886,93.899,93.879,94.277,97.845,99.780,97.126,101.928,97.976,95.883,99.673,100.405,100.277,100.510,100.000,99.884,100.682,93.961,104.868,104.069,108.311,115.913
 "44001","Bristol, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1041797,1117920,1194658,1265177,1306194,1358574,1448790,1507330,1507481,1588650,1548663,1549999,1643547,1690615,1736984,1779202,1802623,1841678,1905058,1826811,2093677,2208370,2435535,2696982
 "44003","Kent, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",7743164,8153198,8498904,8918989,9135749,9634017,9096824,8805561,8842814,8903507,8917385,9043760,9140733,9104801,9148956,9238548,9483115,9446108,9710224,9519387,9508613,9602314,9714723,9791443
 "44003","Kent, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.652,85.976,89.621,94.051,96.337,101.591,95.927,92.855,93.248,93.888,94.034,95.367,96.390,96.011,96.476,97.421,100.000,99.610,102.395,100.382,100.269,101.257,102.442,103.251
 "44003","Kent, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",5719227,6126907,6463610,6946205,7315864,7964741,7720997,7598137,7790691,7887967,8025005,8320832,8540705,8659046,8893521,9112547,9483115,9642906,10122580,10098890,10512569,11326702,11984539,12418317
 "44005","Newport, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4862657,4984002,5226820,5454413,5536800,5506986,5567988,5749792,5641603,5764867,5666738,5658680,5909774,5799241,5648825,5762947,6004565,5957989,6196321,6019658,6625603,6593017,6554467,6911489
 "44005","Newport, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.983,83.004,87.047,90.838,92.210,91.713,92.729,95.757,93.955,96.008,94.374,94.240,98.421,96.581,94.076,95.976,100.000,99.224,103.193,100.251,110.343,109.800,109.158,115.104
 "44005","Newport, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3647088,3823419,4089058,4358394,4549901,4655939,4824902,5041976,5031398,5163993,5133824,5197720,5506741,5511993,5480869,5669131,6004565,6095590,6476702,6402262,7292813,7674403,8037551,8771344
 "44007","Providence, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",30426420,31170101,31896845,33064188,33249066,34248072,33349451,32339440,32129157,33258433,33280298,33724459,33696966,34346836,34961114,34879380,34960663,34718147,35599401,34090749,35429583,36224406,36513278,37007696
