GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "46000","South Dakota",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",32396924,35775980,36141857,37616551,39330564,39961632,41646169,43278516,44255803,44810730,47630336,48653884,48610061,49640865,50860751,51264324,51615065,51937814,52510223,53349239,56015434,55257206,57253037,57717977
 "46000","South Dakota",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",62.766,69.313,70.022,72.879,76.200,77.422,80.686,83.849,85.742,86.817,92.280,94.263,94.178,96.175,98.539,99.320,100.000,100.625,101.734,103.360,108.525,107.056,110.923,111.824
 "46000","South Dakota",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",23626855,26343536,27304966,29380854,31104346,32559267,35282582,36939290,36732144,38208191,42082733,44127276,45498586,47159895,48678875,49842605,51615065,53349545,55175756,56847312,63337679,69425613,74458766,76795783
 "46003","Aurora, SD",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",91284,89764,112986,97646,72612,50144,87289,111601,122177,116677,137936,101333,98828,94833,92542,73760,73242,82235,82302,97442,107296,114784,130858,115184
 "46003","Aurora, SD",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",124.634,122.558,154.264,133.319,99.140,68.464,119.179,152.373,166.813,159.303,188.329,138.354,134.933,129.480,126.351,100.708,100.000,112.279,112.370,133.042,146.496,156.720,178.665,157.266
 "46003","Aurora, SD",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",64319,63002,84814,80378,56764,40344,76100,98439,93936,97131,133229,100506,103153,97396,91046,71863,73242,84208,86448,103735,130533,163159,179217,155797
 "46005","Beadle, SD",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",615211,631694,652998,659675,665100,625554,718437,794359,783998,794593,905030,811913,833341,838187,900908,956647,919078,917589,901698,880867,891192,891288,975205,937951
 "46005","Beadle, SD",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.938,68.731,71.049,71.776,72.366,68.063,78.169,86.430,85.303,86.455,98.471,88.340,90.671,91.199,98.023,104.088,100.000,99.838,98.109,95.842,96.966,96.976,106.107,102.053
 "46005","Beadle, SD",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",454264,471997,502147,529730,533188,514352,618888,695794,673748,697628,838164,774036,819229,826671,886455,937793,919078,928624,932831,927990,1022638,1137630,1272103,1235517
 "46007","Bennett, SD",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",64178,52476,82243,63987,78298,61708,59912,63528,65287,65072,67268,79052,71579,89693,109994,108628,116830,108925,99153,98232,93263,98506,112884,112168
 "46007","Bennett, SD",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",54.932,44.916,70.395,54.769,67.019,52.818,51.281,54.376,55.882,55.698,57.578,67.664,61.267,76.772,94.149,92.979,100.000,93.234,84.869,84.081,79.828,84.316,96.622,96.009
 "46007","Bennett, SD",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",53637,44347,72146,58912,70740,56670,59387,63949,62757,64588,70015,84326,80140,98933,111938,103154,116830,107960,99167,99476,108616,132379,145845,142667
 "46009","Bon Homme, SD",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",218793,206539,281424,294417,209990,216319,207179,209943,247166,257486,258836,251819,168032,165936,176643,212523,225213,235120,239634,220891,222113,269539,243225,217179
