GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",14230726000,14472712000,14877312000,15449757000,15987957000,16433148000,16762445000,16781485000,16349110000,16789750000,17052410000,17442759000,17812167000,18261714000,18799622000,19141672000,19612102000,20193896000,20715671000,20284500000,21532407000,22075931000,22723719000,23358435000
 "00000","United States", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.561,73.795,75.858,78.777,81.521,83.791,85.470,85.567,83.362,85.609,86.948,88.939,90.822,93.115,95.857,97.601,100.000,102.967,105.627,103.428,109.791,112.563,115.866,119.102
 "00000","United States", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10581929000,10929108000,11456450000,12217196000,13039197000,13815583000,14474228000,14769862000,14478067000,15048971000,15599732000,16253970000,16880683000,17608138000,18295019000,18804913000,19612102000,20656516000,21539982000,21375281000,23725645000,26054614000,27811517000,29298013000
 "01000","Alabama",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",168448296,172430379,178039962,189913745,197246483,199923857,202025481,200967427,194192061,199454968,201372839,203675511,206962905,206070026,208950294,212862789,216615470,220808767,225272775,223025492,233951112,239846555,248313684,255629447
 "01000","Alabama",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.764,79.602,82.192,87.673,91.058,92.294,93.265,92.776,89.648,92.078,92.963,94.026,95.544,95.132,96.461,98.268,100.000,101.936,103.997,102.959,108.003,110.725,114.633,118.011
 "01000","Alabama",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",123534517,128380896,135212626,148379077,158677285,166048211,172246995,174665564,170876463,177510738,182896716,188280709,193981544,197064403,203113340,208824280,216615470,226263784,234798213,235858989,260325008,286873326,309543781,325345077
 "02000","Alaska",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",40014380,41904674,41235016,42880090,44406803,47546237,50126750,49926563,54951938,53652007,54045452,57087368,54627629,53303253,53681146,53463861,53550915,52479584,52377485,50901285,51763966,50509127,54183819,55945726
 "02000","Alaska",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.722,78.252,77.002,80.073,82.924,88.787,93.606,93.232,102.616,100.189,100.923,106.604,102.011,99.538,100.243,99.837,100.000,97.999,97.809,95.052,96.663,94.320,101.182,104.472
 "02000","Alaska",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",28660864,29884530,32115792,35389483,40459934,44951700,49456363,55246713,50165906,53653965,56912297,58320660,57532958,56587381,51574180,51121833,53550915,54761954,54549561,51861700,59363025,65682458,68232698,71567207
 "04000","Arizona",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",230885564,238257096,253743083,264989995,283806171,296424393,306611569,302277938,277412371,282252452,290411264,297077253,298859949,301721179,308582795,319008379,333098997,346398299,359576749,366588009,396457492,413798764,427644002,446968228
