GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "50000","Vermont",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",25681811,26522838,27548116,28989183,29283221,29420875,29296631,30168649,29565738,30890645,31663596,31898139,31494602,31847684,32042859,32312674,32589227,32827757,33339435,32408738,33584337,34915898,35499423,36398905
 "50000","Vermont",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.805,81.385,84.531,88.953,89.856,90.278,89.897,92.572,90.722,94.788,97.160,97.879,96.641,97.725,98.323,99.151,100.000,100.732,102.302,99.446,103.053,107.139,108.930,111.690
 "50000","Vermont",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",19467054,20383453,21398541,22986311,23762979,24507147,25025200,26140412,26219975,27478324,28558499,29325594,29477637,30359428,31152380,31840218,32589227,33482622,34760298,34572263,37290821,41211189,43931560,46276072
 "50001","Addison, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1210977,1250659,1322836,1393587,1415138,1423391,1404556,1455667,1408451,1517519,1584589,1642230,1495282,1501692,1541430,1620359,1642746,1664091,1701106,1581693,1609368,1707585,1731073,1816615
 "50001","Addison, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.717,76.132,80.526,84.833,86.145,86.647,85.500,88.612,85.738,92.377,96.460,99.969,91.023,91.414,93.833,98.637,100.000,101.299,103.553,96.284,97.968,103.947,105.377,110.584
 "50001","Addison, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",935999,975893,1047146,1133368,1164814,1194382,1219927,1280764,1251718,1359034,1457636,1543430,1435672,1458848,1504589,1591110,1642746,1690561,1764264,1680730,1798874,2036252,2149426,2305446
 "50003","Bennington, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1570651,1591672,1580308,1633995,1653246,1689760,1727597,1741585,1618864,1709148,1728712,1702071,1679538,1639554,1638346,1691424,1687136,1703357,1722225,1634053,1725255,1775062,1823362,1872849
 "50003","Bennington, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.096,94.342,93.668,96.850,97.991,100.156,102.398,103.227,95.953,101.305,102.464,100.885,99.550,97.180,97.108,100.254,100.000,100.961,102.080,96.854,102.259,105.212,108.074,111.008
 "50003","Bennington, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1175554,1214918,1221828,1287317,1335180,1402389,1469587,1501554,1434789,1513278,1546335,1556520,1562203,1551118,1591337,1670512,1687136,1734860,1794985,1744541,1911568,2093787,2262480,2382540
 "50005","Caledonia, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",993407,985622,1004414,1047604,1047194,1067245,1123151,1130526,1104941,1157448,1167958,1179998,1144937,1129785,1112169,1113724,1104195,1121255,1142233,1141014,1172688,1210195,1223877,1277281
