GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "56000","Wyoming",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",28338117,28901290,29806642,30780132,32463117,36655636,39504839,41641237,40599568,39135847,38929822,38084983,38408734,39287223,40063871,37853539,37620307,37977192,38577118,36463517,37182593,37690571,39843229,39780691
 "56000","Wyoming",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.327,76.824,79.230,81.818,86.291,97.436,105.009,110.688,107.919,104.029,103.481,101.235,102.096,104.431,106.495,100.620,100.000,100.949,102.543,96.925,98.836,100.187,105.909,105.743
 "56000","Wyoming",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",18741707,19160781,21199021,23418134,27530151,32692236,36912831,42694635,36282203,37567504,39615059,38679320,39365580,40573906,38624849,36105862,37620307,39614458,40029484,36982702,42410573,49570370,51350058,51498141
 "56001","Albany, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1210480,1265120,1311780,1323453,1309872,1297960,1388813,1447212,1440861,1450588,1528379,1481170,1530931,1580650,1604752,1549663,1577300,1551129,1508096,1536703,1560405,1607145,1810891,1848358
 "56001","Albany, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.744,80.208,83.166,83.906,83.045,82.290,88.050,91.753,91.350,91.966,96.898,93.905,97.060,100.212,101.740,98.248,100.000,98.341,95.612,97.426,98.929,101.892,114.810,117.185
 "56001","Albany, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",825155,884292,939130,980912,1001840,1030619,1141397,1213940,1235205,1256892,1343844,1333429,1414616,1491723,1551239,1523488,1577300,1588415,1581223,1669333,1748358,1892837,2245774,2359534
 "56003","Big Horn, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",523337,501597,512217,502151,494663,581406,511940,526168,519383,524024,546028,530039,550888,535321,523415,502007,499564,498360,514965,491315,481787,501246,540761,569829
 "56003","Big Horn, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",104.759,100.407,102.533,100.518,99.019,116.383,102.477,105.325,103.967,104.896,109.301,106.100,110.274,107.158,104.774,100.489,100.000,99.759,103.083,98.349,96.442,100.337,108.247,114.065
 "56003","Big Horn, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",322930,313272,335945,352555,385376,481538,447461,503803,464790,498092,549087,530189,552875,537160,500949,479834,499564,514497,536565,516139,555804,645045,707036,767530
 "56005","Campbell, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5424727,5447367,5773170,5591594,5846326,6848507,7372988,7299517,7101519,7082178,7208735,6595633,6693925,6574955,6449748,5790792,5405708,5262255,5241253,5249403,4966229,5290202,5658531,4918971
