system:index,county,datetime,duration_hours,event_id,event_start,geoid,gust_mps,precip_mm,pressure_hpa,storm,temp_c,wind_speed_mps,.geo
00000000000000000000_20170621T04,Barbour,2017-06-21 04:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,6.311109647700922,0.0,1016.7359788121727,2017171N24271,18.224397557443297,3.3926452289072038,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T05,Barbour,2017-06-21 05:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,6.1882293261782655,0.0,1016.3363655513742,2017171N24271,17.499225764249616,3.4279138052180715,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T06,Barbour,2017-06-21 06:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,5.955968172762405,9.313225746154785E-7,1015.8792576079842,2017171N24271,16.888606573773927,3.3927174748388405,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T07,Barbour,2017-06-21 07:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,6.295631825611852,0.0,1015.8812573625652,2017171N24271,16.70480854773399,3.4004206189647177,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T08,Barbour,2017-06-21 08:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,6.2848060143555635,0.0,1015.9538457133506,2017171N24271,16.2750286961101,3.3649733735990326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T09,Barbour,2017-06-21 09:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,6.230585952079732,0.0,1016.1882045566097,2017171N24271,15.43385303756952,3.290425449218119,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T10,Barbour,2017-06-21 10:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,6.214942522698047,-9.313225746154785E-7,1015.9697324934552,2017171N24271,16.855624661270838,3.064697812561882,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T11,Barbour,2017-06-21 11:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,6.591096109120632,0.0,1015.899305055628,2017171N24271,17.323148685475303,3.5146274348774957,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T12,Barbour,2017-06-21 12:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,6.618119392095435,0.0,1016.3661405840966,2017171N24271,17.735916105739705,3.3671348009179556,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T13,Barbour,2017-06-21 13:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,6.332202938838777,0.0036959219431377823,1016.9593944289919,2017171N24271,18.377994924814914,3.063092037266639,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T14,Barbour,2017-06-21 14:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,6.458416536840468,0.022689797257253636,1016.9567958524214,2017171N24271,19.03428902351419,3.456253120560604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T15,Barbour,2017-06-21 15:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,6.434531623780415,0.002499972104402112,1016.8646285994763,2017171N24271,20.98464139768589,3.389000063837636,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T16,Barbour,2017-06-21 16:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,7.451220689643738,0.02018678250737215,1016.5473948789265,2017171N24271,22.088055084388316,3.699344961632219,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20170621T17,Barbour,2017-06-21 17:00,47,54001_2017-06-21 16:00:00,2017-06-21 16:00:00,54001,11.091571346003347,0.007901550392517867,1016.1929581151832,2017171N24271,24.31093158821784,4.126914265034312,"{""type"":""MultiPoint"",""coordinates"":[]}"
