event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used
54001_2017-06-21 16:00:00,2017171N24271,54001,Barbour,2017-06-21 16:00:00,47,15414,6599.0,171.625,47,0.38930140930444,6000.69192301864,1.95833333333333,2017,6,16.67140968682254,8.706824923676294,34.77047231896775,1006.2998476357984,71,71
54059_2017-06-24 04:00:00,2017171N24271,54059,Mingo,2017-06-24 04:00:00,62,22573,13970.0,174.125,62,4.77878915456688,107871.607586038,2.58333333333333,2017,6,20.08078265085094,6.98082268656967,18.274363243156458,1004.6533843268172,86,86
12075_2017-07-30 21:00:00,2017212N28275,12075,Levy,2017-07-30 21:00:00,86,45260,2942.7,210.833333333333,86,4.00755020910171,181381.722463943,3.58333333333333,2017,7,12.601286841367076,7.421799059871172,67.4139983218805,1009.864246350036,110,110
21055_2017-08-24 22:00:00,2017228N14314,21055,Crittenden,2017-08-24 22:00:00,52,8981,3092.0,235.875,52,0.500270916654669,4492.93310247559,2.16666666666667,2017,8,8.907759101481377,5.471674931962676,2.7939677238464355e-06,1016.4005300632912,76,76
48355_2017-08-25 21:00:00,2017228N14314,48355,Nueces,2017-08-25 21:00:00,241,351674,143346.0,236.833333333333,241,59.3811952795346,20882822.468735,10.0416666666667,2017,8,23.61434429538961,12.115826871934669,131.43496739886243,994.0946907001336,265,168
48391_2017-08-25 22:00:00,2017228N14314,48391,Refugio,2017-08-25 22:00:00,409,6632,4527.0,236.875,409,253.371423550923,1680359.28098972,17.0416666666667,2017,8,27.200504788745206,11.924649178212846,176.83670550501074,991.719007880774,433,168
48409_2017-08-25 22:00:00,2017228N14314,48409,San Patricio,2017-08-25 22:00:00,291,69954,30060.0,236.875,291,112.724403564193,7885522.92692956,12.125,2017,8,24.878361208976116,12.038954027522218,148.0696087179154,993.9478722155744,315,168
48239_2017-08-26 00:00:00,2017228N14314,48239,Jackson,2017-08-26 00:00:00,172,15142,4458.0,236.958333333333,172,94.3516086477872,1428672.05814479,7.16666666666667,2017,8,31.236187964894288,12.635323802736629,291.14989669864985,995.4064719847156,196,168
48321_2017-08-26 00:00:00,2017228N14314,48321,Matagorda,2017-08-26 00:00:00,168,36125,15562.0,236.958333333333,168,39.9672009706017,1443815.13506299,7.0,2017,8,30.64475657613145,13.732302218688222,338.40556524169216,999.0008193210664,192,168
48007_2017-08-26 01:00:00,2017228N14314,48007,Aransas,2017-08-26 01:00:00,451,24944,19431.0,237.0,451,325.38767319175,8116470.120095,18.7916666666667,2017,8,28.396930522544714,12.760304590389064,167.82543028102202,988.2812334558824,475,168
48175_2017-08-26 01:00:00,2017228N14314,48175,Goliad,2017-08-26 01:00:00,330,7131,2933.0,237.0,330,111.260386574965,793397.816666073,13.75,2017,8,28.58893541959704,11.392843913765764,143.93400748066946,992.184988066826,354,168
48167_2017-08-26 03:00:00,2017228N14314,48167,Galveston,2017-08-26 03:00:00,97,357117,66317.0,237.083333333333,97,4.19982809837598,1499830.01100774,4.04166666666667,2017,8,20.917519315380915,15.647432125626619,480.3237989811426,1001.1324723459404,121,121
48057_2017-08-26 03:00:00,2017228N14314,48057,Calhoun,2017-08-26 03:00:00,271,19706,7499.0,237.083333333333,271,173.098546472863,3411079.95679424,11.2916666666667,2017,8,28.85185513006369,13.237592305887807,236.14912069073176,992.1379642724804,295,168
48025_2017-08-26 06:00:00,2017228N14314,48025,Bee,2017-08-26 06:00:00,114,30394,8880.0,237.208333333333,114,36.1777192679203,1099585.59942917,4.75,2017,8,25.04966492073558,13.264975769093862,161.26480024736634,995.9792024131132,138,138
48469_2017-08-26 07:00:00,2017228N14314,48469,Victoria,2017-08-26 07:00:00,302,91065,30106.0,237.25,302,109.140866431263,9938913.00156295,12.5833333333333,2017,8,28.32871808851564,11.359259610396075,186.593675718688,991.586521362587,326,168
48473_2017-08-26 09:00:00,2017228N14314,48473,Waller,2017-08-26 09:00:00,67,61894,8829.0,237.333333333333,67,3.00017811721859,185693.024387127,2.79166666666667,2017,8,20.62695864509134,15.531500248106566,349.89605981162657,1003.1372558210784,91,91
48481_2017-08-26 11:00:00,2017228N14314,48481,Wharton,2017-08-26 11:00:00,34,41824,17297.0,237.416666666667,34,0.498121061455744,20833.415274325,1.41666666666667,2017,8,26.750426501285663,17.30994362341054,293.1793447699353,1000.9736719478096,58,58
48089_2017-08-26 17:00:00,2017228N14314,48089,Colorado,2017-08-26 17:00:00,81,20754,5500.0,237.666666666667,81,8.17485316441942,169660.902574361,3.375,2017,8,26.10550927966053,16.069669310832023,424.75207025399783,1002.0078712369112,105,105
48015_2017-08-27 01:00:00,2017228N14314,48015,Austin,2017-08-27 01:00:00,67,31097,8714.0,238.0,67,0.336153008673439,10453.3501107179,2.79166666666667,2017,8,24.38652527405441,16.152830242749,395.26720547425833,1002.733656777224,91,91
22069_2017-08-27 18:00:00,2017228N14314,22069,Natchitoches,2017-08-27 18:00:00,98,36663,11875.0,238.708333333333,98,3.56310068599263,130633.960450548,4.08333333333333,2017,8,14.850915004101749,9.633588960249964,247.228250812054,1000.1631986350576,122,122
22043_2017-08-27 19:00:00,2017228N14314,22043,Grant,2017-08-27 19:00:00,76,22000,1317.0,238.75,76,0.988881550941879,21755.3941207213,3.16666666666667,2017,8,13.514632806376552,9.213847274925607,195.50683639446177,999.0475560141508,100,100
48311_2017-08-27 20:00:00,2017228N14314,48311,McMullen,2017-08-27 20:00:00,28,576,62.0,238.791666666667,28,2.5,1440.0,1.16666666666667,2017,8,18.38512880949847,13.542342416780834,18.00513285113317,1003.914038716814,52,52
48339_2017-08-27 22:00:00,2017228N14314,48339,Montgomery,2017-08-27 22:00:00,66,678490,60396.0,238.875,66,4.80374695735911,3259294.27309859,2.75,2017,8,16.327800306765056,13.431607526277473,253.6608264922244,1004.9739065450896,90,90
22085_2017-08-28 19:00:00,2017228N14314,22085,Sabine,2017-08-28 19:00:00,76,21985,8290.0,239.75,76,5.27999589806098,116080.709818871,3.16666666666667,2017,8,15.836761553922967,10.522152108056753,225.14467113996614,1001.9545973196392,100,100
22013_2017-08-29 04:00:00,2017228N14314,22013,Bienville,2017-08-29 04:00:00,55,12641,1371.0,240.125,55,2.29835129884304,29053.4587686748,2.29166666666667,2017,8,15.959284190831768,10.226317147170908,118.93191874678165,1002.0639398805924,79,79
48245_2017-08-30 05:00:00,2017228N14314,48245,Jefferson,2017-08-30 05:00:00,114,250830,117068.0,241.166666666667,114,11.7596406039316,2949670.65268417,4.75,2017,8,21.109897215364192,7.094368470758807,183.60845393347554,997.4314398644028,138,138
48071_2017-08-30 05:00:00,2017228N14314,48071,Chambers,2017-08-30 05:00:00,92,51288,12430.125,241.166666666667,92,9.12678646490122,468094.624211854,3.83333333333333,2017,8,21.663463869290887,7.569809119635674,143.31855044104472,1001.337966860641,116,116
48361_2017-08-30 10:00:00,2017228N14314,48361,Orange,2017-08-30 10:00:00,199,84934,41233.0,241.375,199,79.0355627325453,6712806.485126,8.29166666666667,2017,8,17.159171994034327,5.668355200333805,180.06250455744507,994.7800989179584,223,168
48419_2017-08-30 20:00:00,2017228N14314,48419,Shelby,2017-08-30 20:00:00,33,24008,3995.0,241.791666666667,33,1.07909887359199,25907.0057571965,1.375,2017,8,14.318107627050884,9.165878236840204,64.8714513852557,1004.750668487363,57,57
22081_2017-08-30 23:00:00,2017228N14314,22081,Red River,2017-08-30 23:00:00,24,7420,3236.0,241.916666666667,24,5.85012360939431,43407.9171817058,1.0,2017,8,16.451302454678178,10.431119280155519,93.86201878787134,1001.9641763026932,48,48
28083_2017-08-31 10:00:00,2017228N14314,28083,Leflore,2017-08-31 10:00:00,36,26570,1374.0,242.375,36,1.5334788937409,40744.5342066958,1.5,2017,8,13.984911404298934,8.658740760911401,48.20459936693143,1001.7437686847916,60,60
28053_2017-09-01 00:00:00,2017228N14314,28053,Humphreys,2017-09-01 00:00:00,24,7333,2644.0,242.958333333333,24,2.49697428139183,18310.3124054463,1.0,2017,8,14.985363532609467,7.4683779284291205,36.83440003757086,1003.0026462654148,48,48
47161_2017-09-01 06:00:00,2017228N14314,47161,Stewart,2017-09-01 06:00:00,48,14035,7491.0,243.208333333333,48,3.24669603524229,45567.3788546256,2.0,2017,9,19.02641545286273,9.377548663791913,116.92619098553266,1003.5570801361388,72,72
48167_2017-09-02 00:00:00,2017228N14314,48167,Galveston,2017-09-02 00:00:00,25,357117,66395.2153846154,243.958333333333,25,1.78848038774339,638696.750629758,1.04166666666667,2017,9,5.014192561122859,2.889360068750682,0.8557061914998644,1014.2404610835276,49,49
13299_2017-08-26 21:00:00,2017240N31279,13299,Ware,2017-08-26 21:00:00,42,35614,14060.0,237.833333333333,42,0.11835583358159,4215.12465717475,1.75,2017,8,13.700621003598238,9.779166905817316,6.5347584092214825,1009.927323440957,66,66
12037_2017-09-09 19:00:00,2017242N16333,12037,Franklin,2017-09-09 19:00:00,122,12498,9491.0,251.75,122,13.3911488345658,167362.578134403,5.08333333333333,2017,9,27.279316418163774,12.005696650264223,92.75071839806628,995.318711524024,146,146
01087_2017-09-09 20:00:00,2017242N16333,01087,Macon,2017-09-09 20:00:00,70,18516,1812.0,251.791666666667,70,1.96661826325916,36413.9037625065,2.91666666666667,2017,9,19.95963056150725,10.95297394831735,74.9758411207572,997.5746146158348,94,94
12059_2017-09-09 20:00:00,2017242N16333,12059,Holmes,2017-09-09 20:00:00,43,19651,4003.0,251.791666666667,43,1.54301855753869,30321.8576741929,1.79166666666667,2017,9,21.989180979777853,14.199580847914357,58.31288363515716,998.4770797358246,67,67
12067_2017-09-09 20:00:00,2017242N16333,12067,Lafayette,2017-09-09 20:00:00,191,7786,786.0,251.791666666667,191,89.8808888826583,699812.600840377,7.95833333333333,2017,9,33.24103419673335,9.33372824364903,153.91627978281795,982.8335295608108,215,168
12013_2017-09-09 21:00:00,2017242N16333,12013,Calhoun,2017-09-09 21:00:00,54,13464,976.0,251.833333333333,54,8.9500948356099,120504.076866652,2.25,2017,9,25.291777432175497,14.104932238401753,89.23010366751612,996.0105648189046,78,78
12075_2017-09-09 22:00:00,2017242N16333,12075,Levy,2017-09-09 22:00:00,190,45260,5563.0,251.875,190,64.4138282251013,2915369.86546809,7.91666666666667,2017,9,33.16905834937835,9.553963984025225,145.73360884242518,976.9195070858868,214,168
13193_2017-09-09 22:00:00,2017242N16333,13193,Macon,2017-09-09 22:00:00,118,11765,3712.0,251.875,118,32.7853128644046,385719.20584972,4.91666666666667,2017,9,33.13878472414039,10.140381344398833,119.4398227066182,992.0352254409976,142,142
13183_2017-09-09 23:00:00,2017242N16333,13183,Long,2017-09-09 23:00:00,101,18348,2442.0,251.916666666667,101,26.4625248625249,485534.406177606,4.20833333333333,2017,9,37.283030738359614,11.632547388505346,167.87112111593652,994.9004571759258,125,125
01037_2017-09-10 00:00:00,2017242N16333,01037,Coosa,2017-09-10 00:00:00,37,10166,4664.0,251.958333333333,37,0.224485420240137,2282.11878216124,1.54166666666667,2017,9,20.031293399384374,11.374896585188544,46.95668855254339,1001.5497539416542,61,61
12079_2017-09-10 02:00:00,2017242N16333,12079,Madison,2017-09-10 02:00:00,124,18198,3749.0,252.041666666667,124,53.5771571473622,974997.105767696,5.16666666666667,2017,9,34.06154558214091,9.72362998221226,136.38472335484133,985.0380013020834,148,148
12011_2017-09-10 06:00:00,2017242N16333,12011,Broward,2017-09-10 06:00:00,178,1947026,939274.0,252.208333333333,178,50.9309517657027,99163887.2925691,7.41666666666667,2017,9,40.3859262631634,10.2815714867722,150.30149385171725,984.8973236343504,202,168
12086_2017-09-10 06:00:00,2017242N16333,12086,Miami-Dade,2017-09-10 06:00:00,210,2673837,1124137.0,252.208333333333,210,62.6986500102262,167645970.247393,8.75,2017,9,44.31942065412536,11.152698144575902,182.87326527942236,985.2187494258,234,168
12125_2017-09-10 11:00:00,2017242N16333,12125,Union,2017-09-10 11:00:00,133,15460,5345.0,252.416666666667,133,54.993459561233,850198.884816662,5.54166666666667,2017,9,33.14872428403801,8.893727335460145,191.48056313253375,980.9217052585342,157,157
13305_2017-09-10 12:00:00,2017242N16333,13305,Wayne,2017-09-10 12:00:00,85,30896,6807.0,252.458333333333,85,28.5438055348416,881889.415804467,3.54166666666667,2017,9,37.52360531152117,11.900419767230284,174.5111590677646,992.4911123511904,109,109
13273_2017-09-10 14:00:00,2017242N16333,13273,Terrell,2017-09-10 14:00:00,83,8754,3418.0,252.541666666667,83,16.4010762905038,143575.02184707,3.45833333333333,2017,9,36.16776949294069,10.922489118553022,118.69068722322717,989.9135051766716,107,107
12111_2017-09-10 14:00:00,2017242N16333,12111,St. Lucie,2017-09-10 14:00:00,131,358704,127029.0,252.541666666667,131,39.8613853891109,14298438.3846156,5.45833333333333,2017,9,37.70381251511965,9.968194197102939,81.53300602866567,987.67180043693,155,155
12099_2017-09-10 14:00:00,2017242N16333,12099,Palm Beach,2017-09-10 14:00:00,147,1518477,742679.0,252.541666666667,147,48.3090383845822,73356163.6791051,6.125,2017,9,38.76315124119104,9.680660974300334,111.91816701818986,984.6623378897737,171,168
