event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used,t90_lastcross,censored_lastcross,crossing_time_lastcross,t50,t50_censored,peak_outage_clean,threshold_used_t90,threshold_used_t50,crossing_time_t50,t90,t90_censored
54059_2017-06-24 04:00:00,2017171N24271,54059,Mingo,2017-06-24 04:00:00,62,22573,13970.0,174.125,62,4.77878915456688,107871.607586038,2.58333333333333,2017,6,20.08078265085094,6.98082268656967,18.274363243156458,1004.6533843268172,86,86,12.655841008240278,0,2017-06-24 16:39:21.027629665,11.3272405660375,0,0.47537580529706513,0.1,0.23768790264853257,2017-06-24 15:19:38.066037735,12.655841008240278,0
48355_2017-08-25 21:00:00,2017228N14314,48355,Nueces,2017-08-25 21:00:00,241,351674,143346.0,236.833333333333,241,59.3811952795346,20882822.468735,10.0416666666667,2017,8,23.61434429538961,12.115826871934669,131.43496739886243,994.0946907001336,265,168,163.03567415730333,0,2017-09-01 16:02:08.426966292,76.33354880413694,0,0.7328556111993269,0.1,0.3664278055996634,2017-08-29 01:20:00.775694893,163.03567415730333,0
48391_2017-08-25 22:00:00,2017228N14314,48391,Refugio,2017-08-25 22:00:00,409,6632,4527.0,236.875,409,253.371423550923,1680359.28098972,17.0416666666667,2017,8,27.200504788745206,11.924649178212846,176.83670550501074,991.719007880774,433,168,382.21368421052614,0,2017-09-10 20:12:49.263157894,260.91379310344803,0,0.9890560875512996,0.1,0.4945280437756498,2017-09-05 18:54:49.655172413,382.21368421052614,0
48409_2017-08-25 22:00:00,2017228N14314,48409,San Patricio,2017-08-25 22:00:00,291,69954,30060.0,236.875,291,112.724403564193,7885522.92692956,12.125,2017,8,24.878361208976116,12.038954027522218,148.0696087179154,993.9478722155744,315,168,237.77792792792778,0,2017-09-04 19:46:40.540540540,122.13696456901083,0,0.9068121226978825,0.1,0.45340606134894124,2017-08-31 00:08:13.072448439,237.77792792792778,0
48239_2017-08-26 00:00:00,2017228N14314,48239,Jackson,2017-08-26 00:00:00,172,15142,4458.0,236.958333333333,172,94.3516086477872,1428672.05814479,7.16666666666667,2017,8,31.236187964894288,12.635323802736629,291.14989669864985,995.4064719847156,196,168,153.7592452830186,0,2017-09-01 09:45:33.283018867,127.69909502262416,0,0.7759623992837958,0.1,0.3879811996418979,2017-08-31 07:41:56.742081447,153.7592452830186,0
48321_2017-08-26 00:00:00,2017228N14314,48321,Matagorda,2017-08-26 00:00:00,168,36125,15562.0,236.958333333333,168,39.9672009706017,1443815.13506299,7.0,2017,8,30.64475657613145,13.732302218688222,338.40556524169216,999.0008193210664,192,168,138.28707482993195,0,2017-08-31 18:17:13.469387755,43.200598802395,0,0.6829252822529494,0.1,0.3414626411264747,2017-08-27 19:12:02.155688622,138.28707482993195,0
48007_2017-08-26 01:00:00,2017228N14314,48007,Aransas,2017-08-26 01:00:00,451,24944,19431.0,237.0,451,325.38767319175,8116470.120095,18.7916666666667,2017,8,28.396930522544714,12.760304590389064,167.82543028102202,988.2812334558824,475,168,404.93248638838475,0,2017-09-11 21:55:56.950998185,326.7912004974225,0,0.977613092481087,0.1,0.4888065462405435,2017-09-08 15:47:28.321790721,404.93248638838475,0
48175_2017-08-26 01:00:00,2017228N14314,48175,Goliad,2017-08-26 01:00:00,330,7131,2933.0,237.0,330,111.260386574965,793397.816666073,13.75,2017,8,28.58893541959704,11.392843913765764,143.93400748066946,992.184988066826,354,168,237.56666666666638,0,2017-09-04 22:33:59.999999999,107.58962021814722,0,0.9245892018779343,0.1,0.4622946009389671,2017-08-30 12:35:22.632785330,237.56666666666638,0
48057_2017-08-26 03:00:00,2017228N14314,48057,Calhoun,2017-08-26 03:00:00,271,19706,7499.0,237.083333333333,271,173.098546472863,3411079.95679424,11.2916666666667,2017,8,28.85185513006369,13.237592305887807,236.14912069073176,992.1379642724804,295,168,246.23344594594585,0,2017-09-05 09:14:00.405405405,165.9638888888889,0,0.9902653687158288,0.1,0.4951326843579144,2017-09-02 00:57:50.000000000,246.23344594594585,0
48025_2017-08-26 06:00:00,2017228N14314,48025,Bee,2017-08-26 06:00:00,114,30394,8880.0,237.208333333333,114,36.1777192679203,1099585.59942917,4.75,2017,8,25.04966492073558,13.264975769093862,161.26480024736634,995.9792024131132,138,138,87.46885245901639,0,2017-08-29 21:28:07.868852459,37.177489177489164,0,0.7438708694990102,0.1,0.3719354347495051,2017-08-27 19:10:38.961038961,87.46885245901639,0
