event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used,min_dist_to_storm_km,matched_ibtracs_storm,county_gdp_real_2017_dollars,county_gdp_real_2017_per_capita
54001_2017-06-21 16:00:00,2017171N24271,54001,Barbour,2017-06-21 16:00:00,47,15414,6599.0,171.625,47,0.38930140930444,6000.69192301864,1.95833333333333,2017,6,16.67140968682254,8.706824923676294,34.77047231896775,1006.2998476357984,71,71,908.1791735760194,2017171N24271,386989000.0,25106.331906059426
54059_2017-06-24 04:00:00,2017171N24271,54059,Mingo,2017-06-24 04:00:00,62,22573,13970.0,174.125,62,4.77878915456688,107871.607586038,2.58333333333333,2017,6,20.08078265085094,6.98082268656967,18.274363243156458,1004.6533843268172,86,86,75.83075439805971,2017171N24271,705413000.0,31250.29902981438
12075_2017-07-30 21:00:00,2017212N28275,12075,Levy,2017-07-30 21:00:00,86,45260,2942.7,210.833333333333,86,4.00755020910171,181381.722463943,3.58333333333333,2017,7,12.601286841367076,7.421799059871172,67.4139983218805,1009.864246350036,110,110,195.70527046396273,2017212N28275,922164000.0,20374.812196199735
21055_2017-08-24 22:00:00,2017228N14314,21055,Crittenden,2017-08-24 22:00:00,52,8981,3092.0,235.875,52,0.500270916654669,4492.93310247559,2.16666666666667,2017,8,8.907759101481377,5.471674931962676,2.7939677238464355e-06,1016.4005300632912,76,76,,,179251000.0,19958.913261329475
48355_2017-08-25 21:00:00,2017228N14314,48355,Nueces,2017-08-25 21:00:00,241,351674,143346.0,236.833333333333,241,59.3811952795346,20882822.468735,10.0416666666667,2017,8,23.61434429538961,12.115826871934669,131.43496739886243,994.0946907001336,265,168,65.8000626426612,2017228N14314,18743020000.0,53296.57580600215
48391_2017-08-25 22:00:00,2017228N14314,48391,Refugio,2017-08-25 22:00:00,409,6632,4527.0,236.875,409,253.371423550923,1680359.28098972,17.0416666666667,2017,8,27.200504788745206,11.924649178212846,176.83670550501074,991.719007880774,433,168,14.69600441528479,2017228N14314,332992000.0,50209.891435464415
48409_2017-08-25 22:00:00,2017228N14314,48409,San Patricio,2017-08-25 22:00:00,291,69954,30060.0,236.875,291,112.724403564193,7885522.92692956,12.125,2017,8,24.878361208976116,12.038954027522218,148.0696087179154,993.9478722155744,315,168,46.22609236195729,2017228N14314,2329989000.0,33307.44489235784
48239_2017-08-26 00:00:00,2017228N14314,48239,Jackson,2017-08-26 00:00:00,172,15142,4458.0,236.958333333333,172,94.3516086477872,1428672.05814479,7.16666666666667,2017,8,31.236187964894288,12.635323802736629,291.14989669864985,995.4064719847156,196,168,27.626970121045485,2017228N14314,627020000.0,41409.325056135254
48321_2017-08-26 00:00:00,2017228N14314,48321,Matagorda,2017-08-26 00:00:00,168,36125,15562.0,236.958333333333,168,39.9672009706017,1443815.13506299,7.0,2017,8,30.64475657613145,13.732302218688222,338.40556524169216,999.0008193210664,192,168,77.70602326685632,2017228N14314,2189072000.0,60597.148788927334
48007_2017-08-26 01:00:00,2017228N14314,48007,Aransas,2017-08-26 01:00:00,451,24944,19431.0,237.0,451,325.38767319175,8116470.120095,18.7916666666667,2017,8,28.396930522544714,12.760304590389064,167.82543028102202,988.2812334558824,475,168,12.999800928120164,2017228N14314,644093000.0,25821.560295060935
48175_2017-08-26 01:00:00,2017228N14314,48175,Goliad,2017-08-26 01:00:00,330,7131,2933.0,237.0,330,111.260386574965,793397.816666073,13.75,2017,8,28.58893541959704,11.392843913765764,143.93400748066946,992.184988066826,354,168,13.248765206710342,2017228N14314,320313000.0,44918.38451830038
48167_2017-08-26 03:00:00,2017228N14314,48167,Galveston,2017-08-26 03:00:00,97,357117,66317.0,237.083333333333,97,4.19982809837598,1499830.01100774,4.04166666666667,2017,8,20.917519315380915,15.647432125626619,480.3237989811426,1001.1324723459404,121,121,189.34950930512048,2017228N14314,15188107000.0,42529.77875598193
48057_2017-08-26 03:00:00,2017228N14314,48057,Calhoun,2017-08-26 03:00:00,271,19706,7499.0,237.083333333333,271,173.098546472863,3411079.95679424,11.2916666666667,2017,8,28.85185513006369,13.237592305887807,236.14912069073176,992.1379642724804,295,168,28.223258460458403,2017228N14314,2693726000.0,136695.72718968842
48025_2017-08-26 06:00:00,2017228N14314,48025,Bee,2017-08-26 06:00:00,114,30394,8880.0,237.208333333333,114,36.1777192679203,1099585.59942917,4.75,2017,8,25.04966492073558,13.264975769093862,161.26480024736634,995.9792024131132,138,138,51.138341636001485,2017228N14314,734739000.0,24173.817200763307
48469_2017-08-26 07:00:00,2017228N14314,48469,Victoria,2017-08-26 07:00:00,302,91065,30106.0,237.25,302,109.140866431263,9938913.00156295,12.5833333333333,2017,8,28.32871808851564,11.359259610396075,186.593675718688,991.586521362587,326,168,12.636402577468093,2017228N14314,4242680000.0,46589.57887223412
48473_2017-08-26 09:00:00,2017228N14314,48473,Waller,2017-08-26 09:00:00,67,61894,8829.0,237.333333333333,67,3.00017811721859,185693.024387127,2.79166666666667,2017,8,20.62695864509134,15.531500248106566,349.89605981162657,1003.1372558210784,91,91,155.6378922712463,2017228N14314,2287710000.0,36961.74104113485
48481_2017-08-26 11:00:00,2017228N14314,48481,Wharton,2017-08-26 11:00:00,34,41824,17297.0,237.416666666667,34,0.498121061455744,20833.415274325,1.41666666666667,2017,8,26.750426501285663,17.30994362341054,293.1793447699353,1000.9736719478096,58,58,76.720356792269,2017228N14314,1643944000.0,39306.235654169854
48089_2017-08-26 17:00:00,2017228N14314,48089,Colorado,2017-08-26 17:00:00,81,20754,5500.0,237.666666666667,81,8.17485316441942,169660.902574361,3.375,2017,8,26.10550927966053,16.069669310832023,424.75207025399783,1002.0078712369112,105,105,91.48671008902974,2017228N14314,847415000.0,40831.40599402525
48015_2017-08-27 01:00:00,2017228N14314,48015,Austin,2017-08-27 01:00:00,67,31097,8714.0,238.0,67,0.336153008673439,10453.3501107179,2.79166666666667,2017,8,24.38652527405441,16.152830242749,395.26720547425833,1002.733656777224,91,91,129.23747281546173,2017228N14314,1262188000.0,40588.73846351738
22069_2017-08-27 18:00:00,2017228N14314,22069,Natchitoches,2017-08-27 18:00:00,98,36663,11875.0,238.708333333333,98,3.56310068599263,130633.960450548,4.08333333333333,2017,8,14.850915004101749,9.633588960249964,247.228250812054,1000.1631986350576,122,122,372.78516427013625,2017228N14314,1412923000.0,38538.117448108445
22043_2017-08-27 19:00:00,2017228N14314,22043,Grant,2017-08-27 19:00:00,76,22000,1317.0,238.75,76,0.988881550941879,21755.3941207213,3.16666666666667,2017,8,13.514632806376552,9.213847274925607,195.50683639446177,999.0475560141508,100,100,378.27364860055025,2017228N14314,374953000.0,17043.31818181818
48311_2017-08-27 20:00:00,2017228N14314,48311,McMullen,2017-08-27 20:00:00,28,576,62.0,238.791666666667,28,2.5,1440.0,1.16666666666667,2017,8,18.38512880949847,13.542342416780834,18.00513285113317,1003.914038716814,52,52,,,1593724000.0,2766881.9444444445
