event_id,storm,CountyFIPS,t90,t90_censored,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,max_customers_tracked,county_pop,event_start,min_dist_to_storm_km,matched_ibtracs_storm,storm_max_wind_center_in_conus_mps,storm_max_wind_near_conus_mps,year,county_gdp_real_2017_dollars,county_gdp_real_2017_per_capita
2017212N28275_2017-07-30 21:00:00,2017212N28275,12075,1.885185185185,0,12.601286841367076,7.421799059871172,67.4139983218805,1009.864246350036,3862.0,45260,2017-07-30 21:00:00,201.49310484050196,2017212N28275,24.693312,25.7222,2017,922164000.0,20374.812196199735
2017242N16333_2017-09-09 19:00:00,2017242N16333,12037,120.40615474794834,0,27.279316418163774,12.005696650264223,92.75071839806628,995.318711524024,10201.0,12498,2017-09-09 19:00:00,169.09247530869504,2017242N16333,59.16106,59.16106,2017,337899000.0,27036.24579932789
2017242N16333_2017-09-09 20:00:00,2017242N16333,12067,186.8025644925564,0,33.24103419673335,9.33372824364903,153.91627978281795,982.8335295608108,4034.0,7786,2017-09-09 20:00:00,34.289273779462846,2017242N16333,59.16106,59.16106,2017,150811000.0,19369.50937580272
2017242N16333_2017-09-09 21:00:00,2017242N16333,12013,52.651219512195,0,25.291777432175497,14.104932238401751,89.23010366751612,996.0105648189046,2029.0,13464,2017-09-09 21:00:00,165.682470101698,2017242N16333,59.16106,59.16106,2017,271085000.0,20134.06120023767
2017242N16333_2017-09-09 22:00:00,2017242N16333,12075,170.764203411355,0,33.16905834937835,9.553963984025224,145.73360884242518,976.9195070858868,19402.0,45260,2017-09-09 22:00:00,31.52538451026392,2017242N16333,59.16106,59.16106,2017,922164000.0,20374.812196199735
2017242N16333_2017-09-10 02:00:00,2017242N16333,12079,119.83281313067306,0,34.06154558214091,9.72362998221226,136.38472335484133,985.0380013020834,9256.0,18198,2017-09-10 02:00:00,42.5242402111993,2017242N16333,59.16106,59.16106,2017,408978000.0,22473.788328387735
2017242N16333_2017-09-10 06:00:00,2017242N16333,12011,153.0468064804286,0,40.3859262631634,10.2815714867722,150.30149385171725,984.8973236343504,939339.0,1947026,2017-09-10 06:00:00,119.95750228531256,2017242N16333,59.16106,59.16106,2017,104703408000.0,53776.07078693351
2017242N16333_2017-09-10 06:00:00,2017242N16333,12086,181.80815224063832,0,44.31942065412536,11.152698144575902,182.8732652794224,985.2187494258,1124253.0,2673837,2017-09-10 06:00:00,114.10942429534154,2017242N16333,59.16106,59.16106,2017,159539066000.0,59666.71341596365
2017242N16333_2017-09-10 11:00:00,2017242N16333,12125,128.33181818181805,0,33.14872428403801,8.893727335460145,191.4805631325337,980.9217052585342,5345.0,15460,2017-09-10 11:00:00,58.05489534857759,2017242N16333,59.16106,59.16106,2017,314461000.0,20340.297542043983
2017242N16333_2017-09-10 14:00:00,2017242N16333,12021,247.5624464355278,0,47.97644738424183,9.8269038396845,212.190249085848,965.3838709223444,212167.0,397994,2017-09-10 14:00:00,35.06219133847804,2017242N16333,59.16106,59.16106,2017,18972217000.0,47669.6055719433
2017242N16333_2017-09-10 14:00:00,2017242N16333,12099,127.02598707824832,0,38.76315124119104,9.680660974300334,111.91816701818986,984.6623378897737,742679.0,1518477,2017-09-10 14:00:00,124.034508191505,2017242N16333,59.16106,59.16106,2017,82713425000.0,54471.305788629004
