event_id,CountyFIPS,storm,event_start,event_end,duration_hours,year,month,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,max_outage_raw,hours_above_thresh_raw,is_valid,peak_outage_clean,threshold_used_t90,t90_lastcross,censored_lastcross,crossing_time_lastcross,duration_days
54059_2017-06-24 04:00:00,54059,2017171N24271,2017-06-24 04:00:00,2017-06-26 18:00:00,62.0,2017,6,22573,13970.0,174.125,62,4.77878915456688,107871.607586038,0.4754473872584109,13,True,0.47537580529706513,0.1,12.655841008240278,0,2017-06-24 16:39:21.027629665,2.58333333333333
48355_2017-08-25 21:00:00,48355,2017228N14314,2017-08-25 21:00:00,2017-09-04 22:00:00,241.0,2017,8,351674,143346.0,236.833333333333,241,59.3811952795346,20882822.468735,0.737402114463309,142,True,0.7328556111993269,0.1,163.03567415730333,0,2017-09-01 16:02:08.426966292,10.0416666666667
48391_2017-08-25 22:00:00,48391,2017228N14314,2017-08-25 22:00:00,2017-09-11 23:00:00,409.0,2017,8,6632,4527.0,236.875,409,253.371423550923,1680359.28098972,0.9931521979235697,351,True,0.9890560875512996,0.1,382.21368421052614,0,2017-09-10 20:12:49.263157894,17.0416666666667
48409_2017-08-25 22:00:00,48409,2017228N14314,2017-08-25 22:00:00,2017-09-07 01:00:00,291.0,2017,8,69954,30060.0,236.875,291,112.724403564193,7885522.92692956,0.9070879171390923,212,True,0.9068121226978825,0.1,237.77792792792778,0,2017-09-04 19:46:40.540540540,12.125
48239_2017-08-26 00:00:00,48239,2017228N14314,2017-08-26 00:00:00,2017-09-02 04:00:00,172.0,2017,8,15142,4458.0,236.958333333333,172,94.3516086477872,1428672.05814479,0.8202775290957923,138,True,0.7759623992837958,0.1,153.7592452830186,0,2017-09-01 09:45:33.283018867,7.16666666666667
48321_2017-08-26 00:00:00,48321,2017228N14314,2017-08-26 00:00:00,2017-09-02 00:00:00,168.0,2017,8,36125,15562.0,236.958333333333,168,39.9672009706017,1443815.13506299,0.6844475453507548,113,True,0.6829252822529494,0.1,138.28707482993195,0,2017-08-31 18:17:13.469387755,7.0
48007_2017-08-26 01:00:00,48007,2017228N14314,2017-08-26 01:00:00,2017-09-13 20:00:00,451.0,2017,8,24944,19431.0,237.0,451,325.38767319175,8116470.120095,0.9776645566363028,401,True,0.977613092481087,0.1,404.93248638838475,0,2017-09-11 21:55:56.950998185,18.7916666666667
48175_2017-08-26 01:00:00,48175,2017228N14314,2017-08-26 01:00:00,2017-09-08 19:00:00,330.0,2017,8,7131,2933.0,237.0,330,111.260386574965,793397.816666073,0.9295774647887324,200,True,0.9245892018779343,0.1,237.56666666666638,0,2017-09-04 22:33:59.999999999,13.75
48057_2017-08-26 03:00:00,48057,2017228N14314,2017-08-26 03:00:00,2017-09-06 10:00:00,271.0,2017,8,19706,7499.0,237.083333333333,271,173.098546472863,3411079.95679424,0.9902653687158288,233,True,0.9902653687158288,0.1,246.23344594594585,0,2017-09-05 09:14:00.405405405,11.2916666666667
48025_2017-08-26 06:00:00,48025,2017228N14314,2017-08-26 06:00:00,2017-08-31 00:00:00,114.0,2017,8,30394,8880.0,237.208333333333,114,36.1777192679203,1099585.59942917,0.7478300593878483,83,True,0.7438708694990102,0.1,87.46885245901639,0,2017-08-29 21:28:07.868852459,4.75
48469_2017-08-26 07:00:00,48469,2017228N14314,2017-08-26 07:00:00,2017-09-07 21:00:00,302.0,2017,8,91065,30106.0,237.25,302,109.140866431263,9938913.00156295,0.8643161335050015,221,True,0.860783731141263,0.1,251.54107485604584,0,2017-09-05 18:32:27.869481765,12.5833333333333
