event_id,CountyFIPS,storm,n,mae,rmse,forecast_horizon_hours
12051_2021-07-04 07:00:00,12051,2021182N09317,27.0,0.008082580770965107,0.024570484474907384,24
12063_2018-06-02 20:00:00,12063,2018146N19273,16.0,0.009254883427851291,0.01780192768954516,24
12063_2017-09-15 17:00:00,12063,2017242N16333,23.0,0.009846187322353837,0.02301418300873877,24
12049_2018-09-09 01:00:00,12049,2018246N22283,14.0,0.010595443881960731,0.026783145163392797,24
12013_2020-09-12 22:00:00,12013,2020256N25281,100.0,0.02416826411075612,0.04633068687901864,24
12029_2021-07-06 00:00:00,12029,2021182N09317,34.0,0.04143146965362824,0.08437756709337643,24
12059_2017-09-09 20:00:00,12059,2017242N16333,31.0,0.0435407248486706,0.13029833775547806,24
12005_2018-10-10 17:00:00,12005,2018280N18273,492.0,0.04860853073576807,0.06747108962863753,24
12075_2017-07-30 21:00:00,12075,2017212N28275,74.0,0.054170006612871864,0.21357925222298133,24
12119_2017-09-11 04:00:00,12119,2017242N16333,142.0,0.06122878638865734,0.07338358749351227,24
12043_2017-09-11 22:00:00,12043,2017242N16333,226.0,0.0647236874558242,0.10617460587331554,24
12097_2022-09-29 04:00:00,12097,2022263N10313,27.0,0.06785839396742335,0.082891940957661,24
12109_2022-09-29 08:00:00,12109,2022263N10313,26.0,0.07020244915204715,0.07771697109427587,24
12037_2017-09-09 19:00:00,12037,2017242N16333,110.0,0.0718717416296085,0.11192689104232206,24
12105_2017-09-10 23:00:00,12105,2017242N16333,180.0,0.07358016979679444,0.09776020206413677,24
12133_2018-10-10 18:00:00,12133,2018280N18273,401.0,0.07494200188169504,0.12113046097155583,24
12045_2018-10-10 15:00:00,12045,2018280N18273,502.0,0.0762855536223387,0.1201955048772195,24
12097_2017-09-11 01:00:00,12097,2017242N16333,148.0,0.07681230698517125,0.11967280155928105,24
12133_2017-09-10 16:00:00,12133,2017242N16333,18.0,0.07757905285943688,0.22364291835497005,24
12069_2022-09-29 06:00:00,12069,2022263N10313,30.0,0.0796369672730628,0.0904072021327684,24
12009_2022-09-29 07:00:00,12009,2022263N10313,50.0,0.07991544811891735,0.08784210681687495,24
12015_2017-09-11 00:00:00,12015,2017242N16333,176.0,0.08053378042751234,0.10132721500513493,24
12039_2018-10-10 16:00:00,12039,2018280N18273,333.0,0.08532071645425664,0.12113657415009974,24
12013_2018-10-10 18:00:00,12013,2018280N18273,499.0,0.08639647362850486,0.1880889608624289,24
12065_2021-09-09 07:00:00,12065,2021252N28273,13.0,0.08915046009117317,0.10689174069128397,24
12063_2018-10-09 00:00:00,12063,2018280N18273,541.0,0.09208611015589836,0.20232823021248547,24
12077_2018-10-10 13:00:00,12077,2018280N18273,376.0,0.09351681897742643,0.13866498558208468,24
12001_2017-09-11 03:00:00,12001,2017242N16333,122.0,0.09365980984810764,0.11725173849619715,24
12113_2020-09-16 09:00:00,12113,2020256N25281,74.0,0.09665640338320865,0.1023202111445035,24
12071_2022-09-28 14:00:00,12071,2022263N10313,251.0,0.09813332785183879,0.1375927328410918,24
12095_2022-09-29 04:00:00,12095,2022263N10313,58.0,0.09929527195389833,0.10457861109536183,24
12091_2020-09-16 10:00:00,12091,2020256N25281,27.0,0.10035730383023013,0.11005308850346411,24
12095_2017-09-11 01:00:00,12095,2017242N16333,161.0,0.10108898742388849,0.13198315431429683,24
12061_2022-09-29 05:00:00,12061,2022263N10313,36.0,0.1035712736935742,0.11025067053350997,24
12053_2017-09-11 04:00:00,12053,2017242N16333,149.0,0.10402301546662604,0.13878421904438581,24
12115_2022-09-28 15:00:00,12115,2022263N10313,192.0,0.10554598412680115,0.1341888461325328,24
12071_2017-09-11 00:00:00,12071,2017242N16333,228.0,0.1063315831370443,0.143228009404155,24
12069_2017-09-11 03:00:00,12069,2017242N16333,195.0,0.1092124466527424,0.1479970249281779,24
12127_2017-09-11 01:00:00,12127,2017242N16333,175.0,0.11038683222330337,0.14532909875816716,24
12111_2022-09-29 05:00:00,12111,2022263N10313,27.0,0.1108522479231822,0.13041296572463054,24
12031_2017-09-11 05:00:00,12031,2017242N16333,102.0,0.11208703777109301,0.12891405641677772,24
12033_2020-09-16 04:00:00,12033,2020256N25281,105.0,0.11476791836935446,0.1329062952868543,24
12015_2022-09-28 16:00:00,12015,2022263N10313,216.0,0.11684064763482942,0.15920857474487551,24
12081_2022-09-28 15:00:00,12081,2022263N10313,140.0,0.12098133087601311,0.1461568004573405,24
12105_2022-09-28 23:00:00,12105,2022263N10313,84.0,0.12190209596201503,0.13129557474927173,24
12079_2018-10-10 20:00:00,12079,2018280N18273,14.0,0.12216324332640972,0.1366041263381283,24
12117_2017-09-11 00:00:00,12117,2017242N16333,179.0,0.12225277990914156,0.15392494581355956,24
12109_2017-09-11 03:00:00,12109,2017242N16333,151.0,0.12233658786079019,0.1552563613129836,24
12051_2017-09-10 16:00:00,12051,2017242N16333,288.0,0.12307316486840156,0.2003858269300249,24
12083_2017-09-11 01:00:00,12083,2017242N16333,185.0,0.1234587934806342,0.15903727302283419,24
12019_2017-09-11 04:00:00,12019,2017242N16333,121.0,0.12684616233437238,0.1597590621581571,24
12035_2017-09-11 00:00:00,12035,2017242N16333,178.0,0.1289670026284794,0.16346129846027585,24
12003_2017-09-11 07:00:00,12003,2017242N16333,150.0,0.13278841489472715,0.1673807853506682,24
12017_2017-09-11 03:00:00,12017,2017242N16333,156.0,0.13831637218269172,0.16617995675909814,24
12021_2017-09-10 14:00:00,12021,2017242N16333,251.0,0.13923283095043154,0.2304832193830274,24
12101_2017-09-11 01:00:00,12101,2017242N16333,124.0,0.14293544300521277,0.17925790561678562,24
12021_2022-09-28 13:00:00,12021,2022263N10313,153.0,0.14322771073475743,0.1849483759583699,24
12107_2022-09-29 10:00:00,12107,2022263N10313,23.0,0.14323402620442297,0.16136894342678365,24
12059_2018-10-10 16:00:00,12059,2018280N18273,209.0,0.14450894925912353,0.19084257498133234,24
12007_2017-09-11 05:00:00,12007,2017242N16333,153.0,0.14728494509983198,0.18425846010805963,24
12037_2021-08-16 17:00:00,12037,2021222N14301,13.0,0.15501506516136057,0.18910258814445716,24
12086_2017-09-10 06:00:00,12086,2017242N16333,198.0,0.1554957124961084,0.2420293787773348,24
12121_2017-09-11 01:00:00,12121,2017242N16333,149.0,0.15591915355789376,0.1917003410696092,24
12107_2017-09-10 18:00:00,12107,2017242N16333,195.0,0.15702579052893076,0.23508412876560253,24
12043_2022-09-28 22:00:00,12043,2022263N10313,111.0,0.15732359757385062,0.19474211772339137,24
12037_2018-10-10 16:00:00,12037,2018280N18273,139.0,0.1584407897092898,0.2236708139875162,24
12129_2017-09-10 18:00:00,12129,2017242N16333,95.0,0.16241109480847737,0.19250426708167956,24
