event_id,CountyFIPS,storm,n,mae,rmse
12063_2018-06-02 20:00:00,12063,2018146N19273,51.0,0.005040957781978575,0.012444180272689379
12045_2018-10-10 15:00:00,12045,2018280N18273,537.0,0.005371912696796577,0.027408310855549466
12049_2018-09-09 01:00:00,12049,2018246N22283,49.0,0.006028081068209478,0.019961042927417048
12063_2017-09-15 17:00:00,12063,2017242N16333,58.0,0.006433833442990735,0.018437837663112522
12077_2018-10-10 13:00:00,12077,2018280N18273,411.0,0.006435956865749299,0.02951330870891074
12043_2017-09-11 22:00:00,12043,2017242N16333,261.0,0.0065387754862324746,0.024023644832702834
12133_2018-10-10 18:00:00,12133,2018280N18273,436.0,0.007197714770363185,0.02816148991114655
12005_2018-10-10 17:00:00,12005,2018280N18273,527.0,0.007451589694903869,0.03573338320572385
12109_2022-09-29 08:00:00,12109,2022263N10313,61.0,0.0075023451647366944,0.012420022672761715
12013_2018-10-10 18:00:00,12013,2018280N18273,534.0,0.007511390464591562,0.04373189397655926
12091_2020-09-16 10:00:00,12091,2020256N25281,62.0,0.00762887766341249,0.010746665363784165
12039_2018-10-10 16:00:00,12039,2018280N18273,368.0,0.007640714693434175,0.03534127629740811
12119_2017-09-11 04:00:00,12119,2017242N16333,177.0,0.007887327218274998,0.020369238666274325
12033_2020-09-16 04:00:00,12033,2020256N25281,140.0,0.008594293792323562,0.01768897163036464
12071_2022-09-28 14:00:00,12071,2022263N10313,286.0,0.008897667271661639,0.026605554237053228
12113_2020-09-16 09:00:00,12113,2020256N25281,109.0,0.009023984731331931,0.016866781636510928
12111_2022-09-29 05:00:00,12111,2022263N10313,62.0,0.009298662614421704,0.022214792249960053
12059_2018-10-10 16:00:00,12059,2018280N18273,244.0,0.009345299939869666,0.035548256025433496
12061_2022-09-29 05:00:00,12061,2022263N10313,71.0,0.009437018793826591,0.016926074497387023
12097_2022-09-29 04:00:00,12097,2022263N10313,62.0,0.009589053549080817,0.01856990645719039
12009_2022-09-29 07:00:00,12009,2022263N10313,85.0,0.0096215903685834,0.020694280288468685
12115_2022-09-28 15:00:00,12115,2022263N10313,227.0,0.009926385630368857,0.02599106757624143
12081_2022-09-28 15:00:00,12081,2022263N10313,175.0,0.01016074462647113,0.02211387345418466
12053_2017-09-11 04:00:00,12053,2017242N16333,184.0,0.010219641063447152,0.030713108649562604
12069_2022-09-29 06:00:00,12069,2022263N10313,65.0,0.010335440622323637,0.024803796213982262
12015_2022-09-28 16:00:00,12015,2022263N10313,251.0,0.010752602956850588,0.03228896077619951
12021_2022-09-28 13:00:00,12021,2022263N10313,188.0,0.010825245040437035,0.0218990624096175
12013_2020-09-12 22:00:00,12013,2020256N25281,135.0,0.011765563803235029,0.03667723714205455
12073_2018-10-10 18:00:00,12073,2018280N18273,169.0,0.011851960660219107,0.02802628625091492
12037_2018-10-10 16:00:00,12037,2018280N18273,174.0,0.011872086169566552,0.0476403667711537
12051_2021-07-04 07:00:00,12051,2021182N09317,62.0,0.011963825112250422,0.039340190284464255
12095_2022-09-29 04:00:00,12095,2022263N10313,93.0,0.012010672483833942,0.036194185019798646
12015_2017-09-11 00:00:00,12015,2017242N16333,211.0,0.012124193252712396,0.04531138606066456
12037_2017-09-09 19:00:00,12037,2017242N16333,145.0,0.01230725758651862,0.04628807211214695
12001_2017-09-11 03:00:00,12001,2017242N16333,157.0,0.012772639616248114,0.027005071645157586
12063_2018-10-09 00:00:00,12063,2018280N18273,576.0,0.012991209063915309,0.0501738028990003
12031_2017-09-11 05:00:00,12031,2017242N16333,137.0,0.0133706818478486,0.034366668581140423
12105_2022-09-28 23:00:00,12105,2022263N10313,119.0,0.013677487262683724,0.02898590573094251
12129_2018-10-10 13:00:00,12129,2018280N18273,179.0,0.013812487253912877,0.037655942200555896
12065_2021-09-09 07:00:00,12065,2021252N28273,48.0,0.014031722310899912,0.03286195221942154
12071_2017-09-11 00:00:00,12071,2017242N16333,263.0,0.015061599895734832,0.07907858331629085
12079_2018-10-10 20:00:00,12079,2018280N18273,49.0,0.015098083449908622,0.0261888559672608
12043_2022-09-28 22:00:00,12043,2022263N10313,146.0,0.015280074241777446,0.038218972439761335
12111_2017-09-10 14:00:00,12111,2017242N16333,154.0,0.015342948974563324,0.05390101014481784
12109_2017-09-11 03:00:00,12109,2017242N16333,186.0,0.015374275648456427,0.04515293543777779
12051_2022-09-27 17:00:00,12051,2022263N10313,219.0,0.015438425513756019,0.04054751285475669
12107_2022-09-29 10:00:00,12107,2022263N10313,58.0,0.01544324387873172,0.03520200373509994
12073_2017-09-11 07:00:00,12073,2017242N16333,83.0,0.015762071703818464,0.03243598117727864
12035_2017-09-11 00:00:00,12035,2017242N16333,213.0,0.016050309790965868,0.04202152768675477
12021_2017-09-10 14:00:00,12021,2017242N16333,286.0,0.01644034918550168,0.0879836530810418
12039_2017-09-11 08:00:00,12039,2017242N16333,83.0,0.016521656103534305,0.033687563961851796
12127_2022-09-29 00:00:00,12127,2022263N10313,142.0,0.016593916705126645,0.03647523172618061
12011_2017-09-10 06:00:00,12011,2017242N16333,201.0,0.016627274986936655,0.07598473103902244
12027_2022-09-28 14:00:00,12027,2022263N10313,247.0,0.017071345012602882,0.05776463988884903
12085_2017-09-11 00:00:00,12085,2017242N16333,139.0,0.017365533987582945,0.07027448589850133
12099_2017-09-10 14:00:00,12099,2017242N16333,170.0,0.017483909835471653,0.07360141073841488
12131_2018-10-10 17:00:00,12131,2018280N18273,79.0,0.017527505868515994,0.05485823873951644
12019_2017-09-11 04:00:00,12019,2017242N16333,156.0,0.018169905476339794,0.04541009824535207
12086_2017-09-10 06:00:00,12086,2017242N16333,233.0,0.018205385252654412,0.08430679153392288
12023_2017-09-11 01:00:00,12023,2017242N16333,191.0,0.018295936520095264,0.05782332857570003
12029_2021-07-06 00:00:00,12029,2021182N09317,69.0,0.018546492704872863,0.051517252222531354
12107_2017-09-10 18:00:00,12107,2017242N16333,230.0,0.01924336188373795,0.0693492197603532
12125_2017-09-10 11:00:00,12125,2017242N16333,156.0,0.02040360488453481,0.06503474140933246
12007_2017-09-11 05:00:00,12007,2017242N16333,188.0,0.021191444457144146,0.067027099929567
12059_2017-09-09 20:00:00,12059,2017242N16333,66.0,0.022751265625374894,0.08321605842977799
12017_2017-09-11 03:00:00,12017,2017242N16333,191.0,0.02333114809539776,0.04927934300919417
12051_2017-09-10 16:00:00,12051,2017242N16333,323.0,0.023514822118255976,0.10294082732008235
12093_2022-09-29 04:00:00,12093,2022263N10313,91.0,0.02384916689759435,0.050969310685329644
12093_2017-09-10 16:00:00,12093,2017242N16333,198.0,0.024076167521703128,0.08186069352192882
12003_2017-09-11 07:00:00,12003,2017242N16333,185.0,0.02436550078931992,0.061658293442110865
12065_2018-10-10 19:00:00,12065,2018280N18273,76.0,0.02548284817590689,0.04765879560778639
12121_2017-09-11 01:00:00,12121,2017242N16333,184.0,0.0261540781796185,0.07002599495260682
12129_2017-09-10 18:00:00,12129,2017242N16333,130.0,0.02627517670838294,0.056823526359499055
12077_2017-09-11 10:00:00,12077,2017242N16333,53.0,0.026370524439162085,0.06972305180602986
12077_2021-08-17 01:00:00,12077,2021222N14301,48.0,0.02676171991639295,0.10263757599754027
12101_2017-09-11 01:00:00,12101,2017242N16333,159.0,0.02728465186092408,0.05181771299386291
12127_2017-09-11 01:00:00,12127,2017242N16333,210.0,0.02772949273059687,0.053925441241918996
12055_2022-09-28 23:00:00,12055,2022263N10313,141.0,0.028162126153500534,0.09642936280470485
12037_2021-08-16 17:00:00,12037,2021222N14301,48.0,0.028417492527921973,0.06402761614431168
12105_2017-09-10 23:00:00,12105,2017242N16333,215.0,0.028615984951464987,0.08133042419091051
12079_2017-09-10 02:00:00,12079,2017242N16333,147.0,0.029895256826439155,0.07668319938892416
12069_2017-09-11 03:00:00,12069,2017242N16333,230.0,0.03001311549944609,0.06681793114413181
12083_2017-09-11 01:00:00,12083,2017242N16333,220.0,0.030774872458189103,0.06223981252341253
12117_2017-09-11 00:00:00,12117,2017242N16333,214.0,0.0321869237037751,0.07105354206334194
12075_2017-09-09 22:00:00,12075,2017242N16333,213.0,0.0340713663147797,0.07449086777258246
12041_2017-09-10 19:00:00,12041,2017242N16333,196.0,0.03452085929429588,0.06868261988776131
12097_2017-09-11 01:00:00,12097,2017242N16333,183.0,0.037082011247765174,0.12370250837354896
12047_2017-09-11 03:00:00,12047,2017242N16333,168.0,0.03890884900933199,0.08702591710317235
12067_2017-09-09 20:00:00,12067,2017242N16333,214.0,0.039018756885977494,0.12151660267684881
12029_2017-09-10 22:00:00,12029,2017242N16333,190.0,0.03902158168432461,0.08056690358236544
12095_2017-09-11 01:00:00,12095,2017242N16333,196.0,0.03916193001684028,0.10588670770677205
12075_2017-07-30 21:00:00,12075,2017212N28275,109.0,0.04064295171192196,0.17924900002225994
12013_2021-08-16 21:00:00,12013,2021222N14301,67.0,0.041110072228583525,0.0803120922896125
12049_2017-09-10 21:00:00,12049,2017242N16333,198.0,0.04130661104826657,0.10505365585555637
12133_2017-09-10 16:00:00,12133,2017242N16333,53.0,0.055123736892922034,0.1997165737036317
12123_2017-09-11 02:00:00,12123,2017242N16333,158.0,0.05948662547807329,0.14427338026682618
12055_2017-09-10 22:00:00,12055,2017242N16333,242.0,0.08458060145460161,0.22034935189287772
12013_2017-09-09 21:00:00,12013,2017242N16333,77.0,0.09680874806158662,0.2539302695627123
12103_2017-09-11 00:00:00,12103,2017242N16333,191.0,0.09879510005123573,0.21786882718499212
