event_id,CountyFIPS,storm,event_start,event_end,duration_hours,max_outage,hours_above_thresh,n_ts_points,reason
54001_2017-06-21 16:00:00,54001,2017171N24271,2017-06-21 16:00:00,2017-06-23 15:00:00,47.0,0.09349901500227308,0,71,invalid_event
21055_2017-08-24 22:00:00,21055,2017228N14314,2017-08-24 22:00:00,2017-08-27 02:00:00,52.0,0.25703762167850563,1,76,invalid_event
48167_2017-08-26 03:00:00,48167,2017228N14314,2017-08-26 03:00:00,2017-08-30 04:00:00,97.0,0.0851063829787234,0,121,invalid_event
48473_2017-08-26 09:00:00,48473,2017228N14314,2017-08-26 09:00:00,2017-08-29 04:00:00,67.0,0.28175002797359294,3,91,invalid_event
48481_2017-08-26 11:00:00,48481,2017228N14314,2017-08-26 11:00:00,2017-08-27 21:00:00,34.0,0.07070590275770365,0,58,invalid_event
48015_2017-08-27 01:00:00,48015,2017228N14314,2017-08-27 01:00:00,2017-08-29 20:00:00,67.0,0.10569198990130824,0,91,invalid_event
22069_2017-08-27 18:00:00,22069,2017228N14314,2017-08-27 18:00:00,2017-08-31 20:00:00,98.0,0.1472842105263158,0,122,invalid_event
22043_2017-08-27 19:00:00,22043,2017228N14314,2017-08-27 19:00:00,2017-08-30 23:00:00,76.0,0.18360761535979347,1,100,invalid_event
48311_2017-08-27 20:00:00,48311,2017228N14314,2017-08-27 20:00:00,2017-08-29 00:00:00,28.0,0.14516129032258066,0,52,invalid_event
48339_2017-08-27 22:00:00,48339,2017228N14314,2017-08-27 22:00:00,2017-08-30 16:00:00,66.0,0.1279719495989369,0,90,invalid_event
22013_2017-08-29 04:00:00,22013,2017228N14314,2017-08-29 04:00:00,2017-08-31 11:00:00,55.0,0.1699489423778264,3,79,invalid_event
28083_2017-08-31 10:00:00,28083,2017228N14314,2017-08-31 10:00:00,2017-09-01 22:00:00,36.0,0.08296943231441048,0,60,invalid_event
48167_2017-09-02 00:00:00,48167,2017228N14314,2017-09-02 00:00:00,2017-09-03 01:00:00,25.0,0.0747748630971555,0,49,invalid_event
13299_2017-08-26 21:00:00,13299,2017240N31279,2017-08-26 21:00:00,2017-08-28 15:00:00,42.0,0.06806543385490754,0,66,invalid_event
01087_2017-09-09 20:00:00,01087,2017242N16333,2017-09-09 20:00:00,2017-09-12 18:00:00,70.0,0.43652784746613144,4,94,invalid_event
12059_2017-09-09 20:00:00,12059,2017242N16333,2017-09-09 20:00:00,2017-09-11 15:00:00,43.0,0.48812351543942994,4,67,invalid_event
01037_2017-09-10 00:00:00,01037,2017242N16333,2017-09-10 00:00:00,2017-09-11 13:00:00,37.0,0.08619210977701544,0,61,invalid_event
12133_2017-09-10 16:00:00,12133,2017242N16333,2017-09-10 16:00:00,2017-09-11 22:00:00,30.0,1.0,3,54,invalid_event
13253_2017-09-10 16:00:00,13253,2017242N16333,2017-09-10 16:00:00,2017-09-12 00:00:00,32.0,0.52,2,56,invalid_event
